algorithm,budget,coverage,cost_per_coverage,time
bad_greedy,520,49,10.551,0
k=1,520,59,8.50847,690
k=2,520,59,8.50847,20307
dynamic,520,56,9.23214,957
greedy,520,56,8.80357,12
random,520,43,12.093,0
bad_greedy,520,43,11.4651,0
k=1,520,56,8.80357,679
k=2,520,56,8.80357,20669
dynamic,520,59,8.79661,9061
greedy,520,59,8.50847,13
random,520,37,14.0541,0
bad_greedy,520,47,10.7872,0
k=1,520,59,8.47458,734
k=2,520,59,8.47458,21941
dynamic,360,53,6.79245,784
greedy,360,52,6.38462,11
random,360,34,10.5882,0
bad_greedy,360,39,8.64103,0
k=1,360,52,6.38462,643
k=2,360,52,6.38462,19546
dynamic,360,58,6.2069,12856
greedy,360,58,6.03448,11
random,360,31,11.6129,0
bad_greedy,360,45,7.64444,0
k=1,360,58,6.03448,654
k=2,360,58,6.03448,20825
dynamic,360,58,6.12069,7492
greedy,360,57,5.75439,13
random,360,40,8.95,0
bad_greedy,360,45,7.66667,0
k=1,360,57,5.73684,605
k=2,360,57,5.73684,17652
dynamic,360,53,6.79245,1823
greedy,360,52,6.63462,11
random,360,24,14.9583,0
bad_greedy,360,45,7.84444,0
k=1,360,52,6.61538,639
k=2,360,52,6.61538,19429
dynamic,360,58,6.2069,622
greedy,360,57,6.08772,11
random,360,46,7.80435,0
bad_greedy,360,45,7.62222,0
k=1,360,57,6.08772,657
k=2,360,57,6.08772,19843
dynamic,560,57,9.80702,4803
greedy,560,56,9.51786,11
random,560,45,12.4,0
bad_greedy,560,43,12.2791,0
k=1,560,56,9.51786,664
k=2,560,56,9.51786,20420
dynamic,560,60,8.11667,866
greedy,560,60,7.06667,12
random,560,52,10.7308,0
bad_greedy,560,44,12.2045,0
k=1,560,60,7.03333,671
k=2,560,60,7.03333,20061
dynamic,560,60,9.28333,1339
greedy,560,60,8.45,11
random,560,48,11.625,0
bad_greedy,560,47,11.8936,0
k=1,560,60,8.45,650
k=2,560,60,8.45,19876
dynamic,560,60,9.33333,506
greedy,560,60,9.31667,12
random,560,48,11.6667,0
bad_greedy,560,41,13.3902,0
k=1,560,60,9.31667,715
k=2,560,60,9.31667,21592
dynamic,560,60,9.21667,6429
greedy,560,60,6.85,13
random,560,56,10,0
bad_greedy,560,56,9.89286,0
k=1,560,60,6.85,726
k=2,560,60,6.85,22066
dynamic,240,52,4.61538,582
greedy,240,52,4.51923,9
random,240,34,7,0
bad_greedy,240,36,6.63889,0
k=1,240,52,4.51923,504
k=2,240,52,4.51923,15499
dynamic,240,52,4.53846,2526
greedy,240,51,4.45098,11
random,240,29,8.27586,0
bad_greedy,240,38,6.28947,0
k=1,240,51,4.45098,616
k=2,240,51,4.45098,18818
dynamic,240,52,4.61538,761
greedy,240,52,4.53846,10
random,240,21,11.4286,0
bad_greedy,240,38,6.23684,0
k=1,240,52,4.53846,555
k=2,240,52,4.53846,16757
dynamic,240,53,4.50943,3814
greedy,240,52,4.36538,9
random,240,34,7.02941,0
bad_greedy,240,35,6.45714,0
k=1,240,53,4.41509,587
k=2,240,53,4.30189,16154
dynamic,240,51,4.70588,4175
greedy,240,51,4.60784,10
random,240,25,9.6,0
bad_greedy,240,39,5.74359,0
k=1,240,51,4.58824,563
k=2,240,51,4.58824,16648
dynamic,240,51,4.68627,1209
greedy,240,49,4.34694,9
random,240,35,6.82857,0
bad_greedy,240,38,6.05263,0
k=1,240,49,4.34694,533
k=2,240,49,4.34694,16094
dynamic,240,55,4.36364,225
greedy,240,55,4.34545,8
random,240,28,8.57143,0
bad_greedy,240,38,6,0
k=1,240,55,4.34545,482
k=2,240,55,4.34545,14701
dynamic,240,51,4.68627,685
greedy,240,50,4.66,11
random,240,37,6.48649,0
bad_greedy,240,39,6.02564,0
k=1,240,50,4.62,639
k=2,240,50,4.62,18992
dynamic,240,50,4.8,577
greedy,240,49,4.69388,9
random,240,19,12.6316,0
bad_greedy,240,37,6.27027,0
k=1,240,49,4.67347,490
k=2,240,49,4.67347,14799
dynamic,240,51,4.64706,142
greedy,240,51,4.58824,8
random,240,34,7.05882,0
bad_greedy,240,42,5.47619,0
k=1,240,51,4.58824,476
k=2,240,51,4.58824,14994
dynamic,440,60,7.33333,1876
greedy,440,60,7.31667,11
random,440,43,10.2326,0
bad_greedy,440,46,9.02174,0
k=1,440,60,7.28333,588
k=2,440,60,7.28333,18009
dynamic,440,55,7.98182,5471
greedy,440,55,7.89091,10
random,440,39,11.2821,0
bad_greedy,440,37,11.3243,0
k=1,440,55,7.89091,581
k=2,440,55,7.89091,18477
dynamic,440,60,7.28333,950
greedy,440,59,6.74576,10
random,440,40,11,0
bad_greedy,440,41,10.1951,0
k=1,440,59,6.84746,568
k=2,440,59,6.84746,17269
dynamic,440,59,7.44068,740
greedy,440,58,6.98276,11
random,440,37,11.8919,0
bad_greedy,440,44,9.70455,0
k=1,440,58,6.98276,691
k=2,440,58,6.98276,20184
dynamic,440,57,7.59649,1009
greedy,440,57,7.52632,11
random,440,46,9.52174,0
bad_greedy,440,48,9.0625,0
k=1,440,57,7.52632,668
k=2,440,57,7.52632,19581
dynamic,240,49,4.89796,857
greedy,240,49,4.87755,8
random,240,29,8.24138,0
bad_greedy,240,39,5.82051,0
k=1,240,49,4.85714,489
k=2,240,49,4.85714,14673
dynamic,240,52,4.57692,875
greedy,240,52,4.44231,9
random,240,32,7.46875,0
bad_greedy,240,40,5.925,0
k=1,240,52,4.44231,552
k=2,240,52,4.44231,17012
dynamic,240,52,4.59615,3051
greedy,240,51,4.64706,9
random,240,33,7.24242,0
bad_greedy,240,40,5.75,0
k=1,240,51,4.64706,527
k=2,240,51,4.64706,16014
dynamic,240,52,4.59615,639
greedy,240,51,4.54902,8
random,240,40,6,0
bad_greedy,240,34,6.88235,0
k=1,240,51,4.54902,453
k=2,240,51,4.54902,14068
dynamic,240,52,4.61538,679
greedy,240,52,4.40385,9
random,240,20,12,0
bad_greedy,240,41,5.60976,0
k=1,240,52,4.40385,534
k=2,240,52,4.40385,16347
dynamic,480,60,7.93333,163650
greedy,480,60,6.88333,10
random,480,49,9.73469,0
bad_greedy,480,49,9.57143,0
k=1,480,60,6.86667,654
k=2,480,60,6.85,19115
dynamic,480,59,8.10169,20051
greedy,480,59,7.23729,11
random,480,42,11.4286,0
bad_greedy,480,45,10.2444,0
k=1,480,59,7.23729,667
k=2,480,59,7.23729,20473
dynamic,480,58,8.25862,1319
greedy,480,57,8.26316,13
random,480,37,12.973,0
bad_greedy,480,47,10.1064,0
k=1,480,57,8.26316,751
k=2,480,57,8.26316,22839
dynamic,480,55,8.70909,5838
greedy,480,54,8.27778,11
random,480,26,18.3846,0
bad_greedy,480,41,11.3171,0
k=1,480,55,8.69091,670
k=2,480,55,8.69091,19335
dynamic,480,60,7.88333,4466
greedy,480,60,7.66667,11
random,480,47,10.2128,0
bad_greedy,480,44,10.4318,0
k=1,480,60,7.66667,655
k=2,480,60,7.66667,19721
dynamic,440,58,7.56897,3948
greedy,440,58,6.96552,10
random,440,47,9.31915,0
bad_greedy,440,45,9.62222,0
k=1,440,58,6.96552,564
k=2,440,58,6.96552,17287
dynamic,440,59,7.45763,543
greedy,440,58,7.32759,11
random,440,43,10.2326,0
bad_greedy,440,45,9.66667,0
k=1,440,58,7.31034,642
k=2,440,58,7.31034,20917
dynamic,440,60,7.33333,2355
greedy,440,60,7.2,11
random,440,41,10.7073,0
bad_greedy,440,45,9.35556,0
k=1,440,60,7.2,644
k=2,440,60,7.2,19261
dynamic,440,58,7.56897,2083
greedy,440,58,6.91379,12
random,440,46,9.34783,0
bad_greedy,440,52,8.19231,0
k=1,440,58,6.77586,680
k=2,440,58,6.7069,19911
dynamic,440,58,7.5,2720
greedy,440,58,7.10345,11
random,440,44,9.95455,0
bad_greedy,440,44,9.59091,0
k=1,440,58,7.06897,666
k=2,440,58,7.06897,19758
dynamic,440,59,7.45763,3088
greedy,440,59,6.9661,10
random,440,47,9.25532,0
bad_greedy,440,51,8.60784,0
k=1,440,59,6.9322,618
k=2,440,59,6.9322,18840
dynamic,440,60,7.2,1584
greedy,440,60,6.56667,11
random,440,46,9.54348,0
bad_greedy,440,45,9.75556,0
k=1,440,60,6.5,531
k=2,440,60,6.5,15806
dynamic,440,55,8,1902
greedy,440,55,7.74545,11
random,440,40,11,0
bad_greedy,440,45,9.62222,0
k=1,440,55,7.65455,659
k=2,440,55,7.65455,19771
dynamic,440,60,7.31667,2018
greedy,440,60,7.23333,11
random,440,35,12.5429,0
bad_greedy,440,47,9.19149,0
k=1,440,60,7.23333,649
k=2,440,60,7.23333,19496
dynamic,440,57,7.7193,302
greedy,440,57,7.2807,11
random,440,38,11.5526,0
bad_greedy,440,44,9.59091,0
k=1,440,57,7.2807,649
k=2,440,57,7.2807,19421
dynamic,320,59,5.35593,354
greedy,320,59,5.42373,10
random,320,40,7.975,0
bad_greedy,320,42,7.14286,0
k=1,320,59,5.42373,565
k=2,320,59,5.42373,17047
dynamic,320,57,5.52632,5707
greedy,320,57,5.49123,11
random,320,34,9.35294,0
bad_greedy,320,37,8.2973,0
k=1,320,57,5.24561,633
k=2,320,57,5.14035,18709
dynamic,320,51,6.23529,720
greedy,320,51,6,9
random,320,30,10.5667,0
bad_greedy,320,41,7.63415,0
k=1,320,51,6,551
k=2,320,51,6,16837
dynamic,320,56,5.69643,1481
greedy,320,55,5.41818,9
random,320,38,8.42105,0
bad_greedy,320,41,7.29268,0
k=1,320,55,5.41818,551
k=2,320,55,5.41818,16209
dynamic,320,56,5.69643,7241
greedy,320,56,5.51786,10
random,320,33,9.63636,0
bad_greedy,320,48,6.52083,0
k=1,320,56,5.51786,581
k=2,320,56,5.5,17875
dynamic,320,53,6.01887,265
greedy,320,52,5.92308,11
random,320,35,8.97143,0
bad_greedy,320,43,7.18605,0
k=1,320,52,5.92308,643
k=2,320,52,5.92308,20057
dynamic,320,56,5.71429,582
greedy,320,56,5.64286,10
random,320,36,8.86111,0
bad_greedy,320,47,6.44681,0
k=1,320,56,5.64286,647
k=2,320,56,5.64286,17675
dynamic,320,54,5.92593,391
greedy,320,54,5.7037,10
random,320,30,10.6667,0
bad_greedy,320,38,8.02632,0
k=1,320,54,5.7037,586
k=2,320,54,5.7037,17879
dynamic,320,56,5.71429,611
greedy,320,56,5.46429,11
random,320,31,10.2258,0
bad_greedy,320,36,8.52778,0
k=1,320,56,5.41071,621
k=2,320,56,5.41071,18746
dynamic,320,56,5.69643,1135
greedy,320,54,5.59259,12
random,320,32,9.96875,0
bad_greedy,320,42,7.35714,0
k=1,320,54,5.55556,729
k=2,320,54,5.55556,22039
dynamic,280,55,5.09091,1236
greedy,280,55,4.87273,9
random,280,33,8.48485,0
bad_greedy,280,45,5.82222,0
k=1,280,55,4.87273,509
k=2,280,55,4.87273,15671
dynamic,280,53,5.28302,5691
greedy,280,53,5.15094,10
random,280,30,9.33333,0
bad_greedy,280,39,6.61538,0
k=1,280,53,5.15094,593
k=2,280,53,5.15094,17820
dynamic,280,56,5,815
greedy,280,55,4.8,9
random,280,40,7,0
bad_greedy,280,40,6.85,0
k=1,280,56,5,529
k=2,280,56,4.98214,15965
dynamic,280,56,4.96429,951
greedy,280,56,4.96429,11
random,280,34,8.17647,0
bad_greedy,280,38,7.18421,0
k=1,280,56,4.96429,649
k=2,280,56,4.96429,19505
dynamic,280,50,5.54,660
greedy,280,48,5.35417,9
random,280,31,9.03226,0
bad_greedy,280,40,6.975,0
k=1,280,48,5.33333,552
k=2,280,48,5.33333,16917
dynamic,520,58,8.93103,471
greedy,520,58,8.7069,12
random,520,36,14.4444,0
bad_greedy,520,48,10.4375,0
k=1,520,58,8.7069,680
k=2,520,58,8.7069,20423
dynamic,520,59,8.77966,299
greedy,520,58,8.55172,11
random,520,49,10.5918,0
bad_greedy,520,43,11.5116,0
k=1,520,58,8.55172,683
k=2,520,58,8.55172,20826
dynamic,520,58,8.87931,1636
greedy,520,57,8.70175,11
random,520,48,10.7917,0
bad_greedy,520,48,10.5417,0
k=1,520,57,8.70175,687
k=2,520,57,8.70175,20633
dynamic,520,59,8.76271,890
greedy,520,59,8.49153,9
random,520,47,11.0638,0
bad_greedy,520,45,11.2,0
k=1,520,59,8.49153,553
k=2,520,59,8.49153,17159
dynamic,520,59,8.77966,245
greedy,520,59,7.81356,11
random,520,40,13,0
bad_greedy,520,43,11.4884,0
k=1,520,59,7.79661,642
k=2,520,59,7.79661,19486
dynamic,520,60,8.65,793
greedy,520,59,7.91525,14
