algorithm,coverage,time,coverage per budget
brute_force,26,747,16.7308
greedy,24,1,17.9583
dynamic,26,263,17.0385
brute_force,26,1037,16.1923
greedy,24,1,17.125
dynamic,27,185,16.6667
brute_force,27,2103,16
greedy,26,1,16.1923
dynamic,27,376,16.6667
brute_force,27,951,15.3333
greedy,26,1,16.9231
dynamic,26,412,16.8462
brute_force,26,1527,16.6538
greedy,24,1,18.2917
dynamic,28,236,15.2143
brute_force,28,3797,13.4643
greedy,26,1,15.6923
dynamic,28,308,15
brute_force,28,2436,14.75
greedy,26,1,15.3462
dynamic,27,520,16.5185
brute_force,27,2476,14.9259
greedy,25,1,17.08
dynamic,29,311,15.5172
brute_force,29,3661,14.1379
greedy,27,1,15.4815
dynamic,29,560,15.4138
brute_force,29,2803,15.1724
greedy,26,1,16.5385
dynamic,29,295,15.5172
brute_force,29,5391,14.3103
greedy,26,1,16.3077
dynamic,28,267,15.4643
brute_force,28,3132,15.0357
greedy,26,0,15.6154
dynamic,27,162,16.3333
brute_force,27,1357,14.2963
greedy,26,1,15.3077
dynamic,27,136,16.4815
brute_force,27,282,16.2593
greedy,26,0,16.3077
dynamic,27,376,16.6296
brute_force,27,3311,16.5556
greedy,25,1,17.68
dynamic,27,274,16.5185
brute_force,27,643,15.5556
greedy,26,0,16.3077
dynamic,25,167,18
brute_force,25,1113,16.72
greedy,24,0,17.75
dynamic,29,233,15.3793
brute_force,29,1145,13.3448
greedy,28,0,15.5714
dynamic,27,113,15.9259
brute_force,27,1219,14.7778
greedy,26,0,17.0385
dynamic,27,75,16.5556
brute_force,27,876,15.8148
greedy,24,0,16.9167
dynamic,27,209,16.5556
brute_force,27,1035,16.5556
greedy,25,1,16.92
dynamic,27,383,16.3704
brute_force,27,1478,14.7407
greedy,25,0,16.08
dynamic,30,473,15
brute_force,30,2892,14.7667
greedy,29,1,14.8621
dynamic,30,282,14.9333
brute_force,30,3942,14.9333
greedy,28,1,15.1071
dynamic,26,770,17.0769
brute_force,26,1268,16.2692
greedy,23,1,18.3913
dynamic,29,431,15.1379
brute_force,29,648,14.4828
greedy,27,1,15.7037
dynamic,29,495,15.2414
brute_force,29,2047,12.9655
greedy,27,1,15.2963
dynamic,27,334,16.4444
brute_force,27,759,16.4444
greedy,25,0,17.08
dynamic,24,92,18.5417
brute_force,24,575,16.0417
greedy,22,0,18.1364
dynamic,25,176,17.48
brute_force,25,434,17.08
greedy,24,0,17.875
dynamic,28,177,15.6071
brute_force,28,947,13.7857
greedy,26,1,16.3077
dynamic,27,379,16.6296
brute_force,27,1404,16.2593
greedy,24,1,17.5
dynamic,26,430,17.0385
brute_force,26,1743,16.5
greedy,23,1,17.913
dynamic,27,247,16.4444
brute_force,27,894,15.0741
greedy,26,1,17.0769
dynamic,29,659,15.1379
brute_force,29,1054,14.1724
greedy,27,1,16
dynamic,25,236,17.76
brute_force,25,660,16.64
greedy,24,0,17.25
dynamic,27,470,16.2593
brute_force,27,2496,16.2593
greedy,23,0,18.2609
dynamic,26,700,16.1923
brute_force,26,4042,14.8462
greedy,25,1,16.76
dynamic,26,377,16.9231
brute_force,26,1182,16.6923
greedy,25,1,17.16
dynamic,27,285,16.4444
brute_force,27,1457,16.2222
greedy,25,1,16.44
dynamic,26,295,17.1154
brute_force,26,938,15.4615
greedy,25,0,17.64
dynamic,30,420,14.3667
brute_force,30,10277,13.5
greedy,29,1,15.2414
dynamic,28,336,15.8214
brute_force,28,5140,15.7143
greedy,25,1,16.2
dynamic,26,300,17.1538
brute_force,26,1102,15.9231
greedy,24,0,18.3333
dynamic,28,228,15.8929
brute_force,28,1884,15.2143
greedy,25,0,16.68
dynamic,29,377,14.7586
brute_force,29,2181,13.1379
greedy,28,1,16.0357
dynamic,22,164,20.0909
brute_force,22,630,20.0909
greedy,21,1,20.2857
dynamic,27,335,16.4444
brute_force,27,1180,14.6667
greedy,26,1,16.1538
dynamic,24,135,18.625
brute_force,24,384,18.625
greedy,22,0,20.1364
dynamic,29,410,15.4138
brute_force,29,3086,13.9655
greedy,28,1,15.2857
dynamic,29,449,15.4483
brute_force,29,2775,15.4483
greedy,27,1,16.5556
dynamic,29,341,15.1379
brute_force,29,1240,14.1034
greedy,29,0,14.4138
dynamic,28,499,16.0714
brute_force,28,3323,14.6071
greedy,26,1,16.0769
dynamic,28,458,15.4643
brute_force,28,1764,14.25
greedy,27,1,15.7778
dynamic,27,164,16.6667
brute_force,27,2932,15.6296
greedy,27,1,16.5185
dynamic,27,497,15.5926
brute_force,27,627,14.2593
greedy,26,0,16.4615
dynamic,29,307,15.1724
brute_force,29,1164,15.1724
greedy,28,0,15.6429
dynamic,26,219,17.1538
brute_force,26,1165,16.5769
greedy,24,0,17.875
dynamic,27,286,16.5556
brute_force,27,1540,15.6667
greedy,26,1,17.1923
dynamic,29,179,15.3448
brute_force,29,6554,13.6897
