k=1,100,9,5.66667,4,63
k=2,100,9,5.66667,4,2692
greedy,100,100,0.78,1,2
random,100,73,1.36986,1,0
bad_greedy,100,79,1.26582,1,1
k=1,100,100,0.77,1,18
k=2,100,100,0.77,1,924
greedy,100,42,2.38095,2,2
random,100,30,3.33333,2,0
bad_greedy,100,16,6.25,2,1
k=1,100,42,2.38095,2,47
k=2,100,42,2.38095,2,2065
greedy,100,100,0.86,3,2
random,100,67,1.47761,3,0
bad_greedy,100,91,1.08791,3,1
k=1,100,100,0.81,3,21
k=2,100,100,0.79,3,1059
greedy,100,8,12.5,4,2
random,100,1,66,4,0
bad_greedy,100,8,12.5,4,2
k=1,100,8,12.5,4,58
k=2,100,8,12.5,4,2290
greedy,100,100,0.89,1,2
random,100,72,1.375,1,0
bad_greedy,100,91,1.0989,1,1
k=1,100,100,0.89,1,20
k=2,100,100,0.89,1,959
greedy,100,39,2.5641,2,2
random,100,23,4.34783,2,0
bad_greedy,100,16,6.25,2,1
k=1,100,39,2.5641,2,51
k=2,100,39,2.5641,2,2214
greedy,100,97,1.03093,3,2
random,100,73,1.35616,3,0
bad_greedy,100,83,1.20482,3,1
k=1,100,98,1.02041,3,22
k=2,100,98,0.989796,3,1119
greedy,100,8,6.5,4,2
random,100,4,12.75,4,0
bad_greedy,100,3,17,4,1
k=1,100,8,6.5,4,57
k=2,100,8,6.5,4,2445
greedy,100,100,0.86,1,3
random,100,63,1.5873,1,0
bad_greedy,100,94,1.05319,1,2
k=1,100,100,0.84,1,30
k=2,100,100,0.82,1,1447
greedy,100,37,2.7027,2,4
random,100,20,5,2,0
bad_greedy,100,14,7.14286,2,2
k=1,100,37,2.7027,2,71
k=2,100,36,2.77778,2,2585
greedy,100,96,1.02083,3,2
random,100,58,1.72414,3,0
bad_greedy,100,82,1.18293,3,1
k=1,100,97,1.03093,3,31
k=2,100,97,1.01031,3,1348
greedy,100,10,5.3,4,2
random,100,2,50,4,0
bad_greedy,100,2,25.5,4,1
k=1,100,10,5.3,4,67
k=2,100,10,5.3,4,2667
greedy,100,100,0.85,1,2
random,100,81,1.22222,1,0
bad_greedy,100,87,1.13793,1,2
k=1,100,100,0.78,1,28
k=2,100,100,0.75,1,1140
greedy,100,44,2.27273,2,2
random,100,22,4.54545,2,0
bad_greedy,100,18,5.55556,2,1
k=1,100,44,2.27273,2,50
k=2,100,44,2.27273,2,2411
greedy,100,100,0.99,3,2
random,100,73,1.35616,3,0
bad_greedy,100,89,1.08989,3,1
k=1,100,100,0.96,3,27
k=2,100,100,0.96,3,1125
greedy,100,8,12.5,4,2
random,100,1,77,4,0
bad_greedy,100,7,14.2857,4,1
