algorithm,budget,coverage,cost per coverage unit
dynamic,160,18,8.77778
brute_force,160,18,8.66667
greedy,160,18,8.66667
dynamic,160,17,9.41176
brute_force,160,17,9.41176
greedy,160,15,10.0667
dynamic,180,18,9.94444
brute_force,180,18,9.94444
greedy,180,17,9.47059
dynamic,180,18,9.94444
brute_force,180,18,9.94444
greedy,180,17,9.47059
dynamic,180,24,7.125
brute_force,180,24,7.125
greedy,180,23,7.26087
dynamic,180,20,8.8
brute_force,180,20,8.6
greedy,180,20,8.7
dynamic,180,21,8.28571
brute_force,180,21,8.19048
greedy,180,21,8.19048
dynamic,180,18,9.88889
brute_force,180,18,8.72222
greedy,180,18,9.33333
dynamic,180,17,10.4118
brute_force,180,17,10.4118
greedy,180,16,10.875
dynamic,180,23,7.78261
brute_force,180,23,7.6087
greedy,180,22,7.18182
dynamic,180,22,8
brute_force,180,22,8
greedy,180,21,7.52381
dynamic,180,23,7.69565
brute_force,180,23,7.69565
greedy,180,22,8.13636
dynamic,180,22,7.81818
brute_force,180,22,7.81818
greedy,180,22,7.81818
dynamic,180,18,9.66667
brute_force,180,18,8.16667
greedy,180,18,9.88889
dynamic,180,21,8.42857
brute_force,180,21,8.42857
greedy,180,21,8.42857
dynamic,180,14,11.7143
brute_force,180,14,11.5
greedy,180,14,12.7857
dynamic,180,21,8.52381
brute_force,180,21,7.61905
greedy,180,21,7.80952
dynamic,180,21,8.19048
brute_force,180,21,8
greedy,180,21,8
dynamic,180,17,10.2353
brute_force,180,17,9.64706
greedy,180,16,10.0625
dynamic,180,19,9.15789
brute_force,180,19,8.15789
greedy,180,19,9.05263
dynamic,180,20,8.75
brute_force,180,20,7.9
greedy,180,18,9
dynamic,180,21,8.2381
brute_force,180,21,7.71429
greedy,180,20,8.4
dynamic,180,19,9.36842
brute_force,180,19,9
greedy,180,18,9.55556
dynamic,180,17,10
brute_force,180,17,9.52941
greedy,180,16,10.375
dynamic,180,17,10.4118
brute_force,180,17,10.4118
greedy,180,16,9.9375
dynamic,180,22,8
brute_force,180,22,8
greedy,180,20,7.95
dynamic,180,17,10.5882
brute_force,180,17,10.0588
greedy,180,17,10.0588
dynamic,180,18,10
brute_force,180,18,10
greedy,180,16,10.4375
dynamic,180,21,8.52381
brute_force,180,21,7.2381
greedy,180,21,8.47619
dynamic,180,20,9
brute_force,180,20,8.85
greedy,180,17,8.76471
dynamic,180,25,7.08
brute_force,180,25,7.08
greedy,180,22,8.13636
dynamic,180,23,7.21739
brute_force,180,23,6.3913
greedy,180,23,6.95652
dynamic,180,25,7.04
brute_force,180,25,7.04
greedy,180,24,7.08333
dynamic,180,18,9.44444
brute_force,180,18,8.88889
greedy,180,18,8.88889
dynamic,180,18,9.88889
brute_force,180,18,9.77778
greedy,180,16,9.75
dynamic,180,21,8.19048
brute_force,180,21,8.19048
greedy,180,21,8.19048
dynamic,180,18,9.77778
brute_force,180,18,8.83333
greedy,180,18,9.38889
dynamic,180,20,8.6
brute_force,180,20,7.6
greedy,180,19,8.84211
dynamic,180,16,10.5
brute_force,180,16,10.375
greedy,180,16,10.375
dynamic,180,19,9.47368
brute_force,180,19,8.57895
greedy,180,19,9.10526
dynamic,180,21,8.57143
brute_force,180,21,8.04762
greedy,180,20,8.55
dynamic,180,23,7.69565
brute_force,180,23,7.17391
greedy,180,22,7.22727
dynamic,180,20,8.75
brute_force,180,20,8.75
greedy,180,20,8.75
dynamic,180,19,9.47368
brute_force,180,19,9.15789
greedy,180,17,10.2941
dynamic,180,21,8.57143
brute_force,180,21,7.85714
greedy,180,21,8.52381
dynamic,180,21,8.47619
brute_force,180,21,7.33333
greedy,180,21,7.80952
dynamic,180,20,9
brute_force,180,20,9
greedy,180,19,8.57895
dynamic,180,26,6.88462
brute_force,180,26,6.84615
greedy,180,24,6.58333
dynamic,180,20,8.8
brute_force,180,20,8.8
greedy,180,19,7.63158
dynamic,180,25,6.96
brute_force,180,25,6.04
greedy,180,25,6.6
dynamic,180,18,9.44444
brute_force,180,18,8.16667
greedy,180,18,9.16667
dynamic,180,19,9.42105
brute_force,180,19,8.15789
greedy,180,19,8.15789
dynamic,180,19,8.42105
brute_force,180,19,8.42105
greedy,180,19,8.42105
dynamic,180,20,8.5
brute_force,180,20,8.45
greedy,180,19,9
dynamic,180,16,11
brute_force,180,16,10.6875
greedy,180,15,10.6
dynamic,180,14,12.8571
brute_force,180,14,12
greedy,180,13,12.8462
dynamic,180,23,7.56522
brute_force,180,23,7.56522
greedy,180,23,7.56522
dynamic,180,18,9.83333
brute_force,180,18,9.83333
greedy,180,18,9.83333
dynamic,180,21,8.42857
brute_force,180,21,8.2381
greedy,180,20,8.25
dynamic,180,21,8.2381
brute_force,180,21,7.33333
greedy,180,20,8.35
dynamic,180,23,7.04348
brute_force,180,23,7.04348
greedy,180,23,7.04348
dynamic,180,19,9.31579
brute_force,180,19,9.26316
greedy,180,19,9.31579
dynamic,180,20,8.85
brute_force,180,20,8.6
greedy,180,20,8.6
dynamic,180,20,8.95
brute_force,180,20,8.85
greedy,180,19,9.15789
dynamic,180,20,8.9
brute_force,180,20,8.4
greedy,180,18,9.88889
dynamic,180,18,9.77778
brute_force,180,18,9
greedy,180,18,9.66667
dynamic,180,19,9.31579
brute_force,180,19,8.10526
greedy,180,19,8.10526
dynamic,180,22,7.72727
brute_force,180,22,7.45455
greedy,180,21,7.33333
dynamic,180,20,9
brute_force,180,20,9
greedy,180,18,9.11111
dynamic,180,20,8.95
brute_force,180,20,7.9
greedy,180,20,7.9
dynamic,180,14,12.7143
brute_force,180,14,12.3571
greedy,180,14,12.3571
dynamic,180,19,9.36842
brute_force,180,19,9.36842
greedy,180,18,9.16667
dynamic,180,23,6.47826
brute_force,180,23,6.47826
greedy,180,23,7.30435
dynamic,180,22,8
brute_force,180,22,7.22727
greedy,180,21,7.09524
dynamic,180,19,9.47368
brute_force,180,19,9.15789
greedy,180,19,9.15789
dynamic,180,21,7.80952
brute_force,180,21,7.66667
greedy,180,20,8.1
dynamic,180,22,8.18182
brute_force,180,22,7.59091
greedy,180,21,8.09524
dynamic,180,22,8.09091
brute_force,180,22,8.09091
greedy,180,21,7.33333
dynamic,180,20,9
brute_force,180,20,8.85
greedy,180,18,9.55556
dynamic,180,20,8.4
brute_force,180,20,8.4
greedy,180,20,8.4
dynamic,180,22,8.04545
brute_force,180,22,7.68182
greedy,180,22,7.90909
dynamic,180,21,8.38095
brute_force,180,21,8.38095
greedy,180,21,8.38095
dynamic,180,20,8.7
brute_force,180,20,8.1
greedy,180,18,9.94444
dynamic,180,19,9.42105
brute_force,180,19,9.42105
greedy,180,19,9.42105
dynamic,180,23,7.82609
brute_force,180,23,6.82609
greedy,180,22,7.63636
dynamic,180,19,9.47368
brute_force,180,19,8.15789
greedy,180,19,9.10526
dynamic,180,19,9
brute_force,180,19,8.63158
greedy,180,19,8.63158
dynamic,180,23,7.78261
brute_force,180,23,7.78261
greedy,180,23,7.78261
dynamic,180,19,9.36842
brute_force,180,19,8.94737
greedy,180,18,9.11111
dynamic,180,21,8.2381
brute_force,180,21,8.2381
greedy,180,21,8.52381
dynamic,180,19,9.36842
brute_force,180,19,9.36842
greedy,180,18,9.61111
dynamic,180,18,9.16667
brute_force,180,18,9.16667
greedy,180,18,9.94444
dynamic,180,20,8.9
brute_force,180,20,8.7
greedy,180,19,8.78947
dynamic,180,17,10.2353
brute_force,180,17,9.47059
greedy,180,16,9.8125
dynamic,180,22,8.18182
brute_force,180,22,8.04545
greedy,180,20,8.05
dynamic,180,21,8.09524
brute_force,180,21,8.09524
greedy,180,19,9.36842
dynamic,180,22,7.95455
brute_force,180,22,7.31818
greedy,180,21,7.90476
dynamic,180,22,8.18182
brute_force,180,22,8.09091
greedy,180,20,8.3
dynamic,180,18,10
brute_force,180,18,10
greedy,180,16,10.125
dynamic,180,22,7.81818
brute_force,180,22,7.81818
greedy,180,22,7.81818
dynamic,180,19,9.15789
brute_force,180,19,8.73684
greedy,180,19,9.31579
dynamic,180,21,8.57143
brute_force,180,21,8
greedy,180,21,8
dynamic,180,24,7.25
brute_force,180,24,7.25
greedy,180,23,7.47826
dynamic,180,23,7.73913
brute_force,180,23,7.34783
greedy,180,22,7.04545
dynamic,180,24,7.04167
brute_force,180,24,7.04167
greedy,180,22,6.77273
dynamic,180,19,9.10526
brute_force,180,19,8.57895
greedy,180,18,9.55556
dynamic,180,20,8.85
brute_force,180,20,8.65
greedy,180,19,9.31579
dynamic,180,23,7.73913
brute_force,180,23,7.30435
greedy,180,23,7.30435
dynamic,180,20,8.65
brute_force,180,20,8.45
greedy,180,20,8.45
dynamic,180,20,8.8
brute_force,180,20,8.3
greedy,180,20,8.85
dynamic,180,24,7.16667
brute_force,180,24,6.625
greedy,180,24,7.125
dynamic,180,24,7.41667
brute_force,180,24,7.20833
greedy,180,23,7.73913
dynamic,180,17,10.1765
brute_force,180,17,9.17647
greedy,180,16,10.0625
dynamic,180,20,8.65
brute_force,180,20,8.25
greedy,180,19,8.36842
dynamic,180,19,9.31579
brute_force,180,19,9.26316
greedy,180,18,8.94444
dynamic,180,22,7.86364
brute_force,180,22,7.86364
greedy,180,22,7.86364
dynamic,180,17,10.5294
brute_force,180,17,8.94118
greedy,180,17,10.4118
dynamic,180,15,11.8
brute_force,180,15,11.8
greedy,180,13,11.5385
dynamic,180,22,7.95455
brute_force,180,22,7.22727
greedy,180,22,7.22727
dynamic,180,20,8.75
brute_force,180,20,8.75
greedy,180,19,8.36842
dynamic,180,24,7.29167
brute_force,180,24,6.75
greedy,180,24,7.33333
dynamic,180,19,8.89474
brute_force,180,19,8.89474
greedy,180,18,9.77778
dynamic,180,18,9.83333
brute_force,180,18,9.83333
greedy,180,17,10.5294
dynamic,180,22,8.13636
brute_force,180,22,8.13636
greedy,180,21,7.90476
dynamic,180,16,10.875
brute_force,180,16,10.125
greedy,180,16,11.125
dynamic,180,20,8.95
brute_force,180,20,7.6
greedy,180,20,7.6
dynamic,180,20,8.95
brute_force,180,20,8.95
greedy,180,19,9.26316
dynamic,180,17,10.4706
brute_force,180,17,10.4706
greedy,180,17,10.4706
dynamic,180,17,10.3529
brute_force,180,17,10.3529
greedy,180,16,10
dynamic,180,23,7.73913
brute_force,180,23,7.30435
greedy,180,23,7.30435
dynamic,180,16,10.8125
brute_force,180,16,10.5
greedy,180,16,10.5
dynamic,180,21,8.42857
brute_force,180,21,7.71429
greedy,180,20,8.45
dynamic,180,19,9.47368
brute_force,180,19,9.47368
greedy,180,18,8
dynamic,180,20,8.75
brute_force,180,20,8.75
greedy,180,19,9.15789
dynamic,180,19,9.31579
brute_force,180,19,8.94737
greedy,180,19,9.26316
dynamic,180,18,9.66667
brute_force,180,18,9.66667
greedy,180,17,10
dynamic,180,20,8.75
brute_force,180,20,8.7
greedy,180,20,8.7
dynamic,180,24,7.125
brute_force,180,24,5.875
greedy,180,24,6.41667
dynamic,180,20,8.9
brute_force,180,20,8.35
greedy,180,20,8.35
dynamic,180,20,8.4
brute_force,180,20,8.35
greedy,180,19,8.68421
dynamic,180,23,7.69565
brute_force,180,23,7.47826
greedy,180,22,7.72727
dynamic,180,21,8
brute_force,180,21,8
greedy,180,21,8
dynamic,180,22,8.18182
brute_force,180,22,7.31818
greedy,180,22,7.31818
dynamic,180,22,8.18182
brute_force,180,22,8.04545
greedy,180,21,8.19048
dynamic,180,23,6.91304
brute_force,180,23,6.86957
greedy,180,22,7.27273
dynamic,180,17,10.4706
brute_force,180,17,9.23529
greedy,180,17,9.23529
dynamic,180,19,9.05263
brute_force,180,19,9.05263
greedy,180,19,9.05263
dynamic,180,20,8.25
brute_force,180,20,8.25
greedy,180,20,8.25
dynamic,180,17,9.70588
brute_force,180,17,9.70588
greedy,180,15,10.3333
dynamic,180,22,7.72727
brute_force,180,22,7.04545
greedy,180,22,7.77273
dynamic,180,19,9.15789
brute_force,180,19,8.63158
greedy,180,19,8.63158
dynamic,180,21,8.57143
brute_force,180,21,8.57143
greedy,180,19,9.05263
dynamic,180,19,9
brute_force,180,19,8.47368
greedy,180,17,9.17647
dynamic,180,22,7.90909
brute_force,180,22,7.90909
greedy,180,22,7.90909
dynamic,180,21,8.47619
brute_force,180,21,7.80952
greedy,180,20,8.65
dynamic,180,22,7.72727
brute_force,180,22,7.72727
greedy,180,20,8.25
dynamic,180,18,10
brute_force,180,18,9.94444
greedy,180,17,10.2353
dynamic,180,22,8.09091
brute_force,180,22,8.09091
greedy,180,22,8.09091
dynamic,180,23,7.78261
brute_force,180,23,7.26087
greedy,180,22,7.13636
dynamic,180,18,9.72222
brute_force,180,18,9.11111
greedy,180,16,10.25
dynamic,180,20,8.85
brute_force,180,20,8.85
greedy,180,20,8.85
dynamic,180,15,11.9333
brute_force,180,15,11.8667
greedy,180,15,11.9333
dynamic,180,23,7.04348
brute_force,180,23,7.04348
greedy,180,23,7.04348
dynamic,180,21,8.04762
brute_force,180,21,7.42857
greedy,180,21,7.42857
dynamic,180,21,7.95238
brute_force,180,21,7.95238
greedy,180,20,8.9
dynamic,180,21,8
brute_force,180,21,8
greedy,180,21,8
dynamic,180,24,7.16667
brute_force,180,24,7.16667
greedy,180,22,7.18182
dynamic,180,18,9.38889
brute_force,180,18,9.16667
greedy,180,18,9.16667
dynamic,180,20,8.85
brute_force,180,20,8.85
greedy,180,19,8.84211
dynamic,180,17,10.5882
brute_force,180,17,9.88235
greedy,180,16,10.375
dynamic,180,16,10.8125
brute_force,180,16,10.8125
greedy,180,16,11
dynamic,180,19,9.47368
brute_force,180,19,9.10526
greedy,180,19,9.10526
dynamic,180,18,10
brute_force,180,18,9.11111
greedy,180,16,10.875
dynamic,180,24,6.95833
brute_force,180,24,6.95833
greedy,180,23,7.3913
dynamic,180,20,8.9
brute_force,180,20,8.25
greedy,180,20,8.25
dynamic,180,19,9.26316
brute_force,180,19,9.21053
greedy,180,18,9.44444
dynamic,180,18,9.88889
brute_force,180,18,9.5
greedy,180,18,9.5
dynamic,180,21,8.42857
brute_force,180,21,8.19048
greedy,180,20,8.6
dynamic,180,15,12
brute_force,180,15,10.4667
greedy,180,14,10.4286
dynamic,180,21,8.28571
brute_force,180,21,8.28571
greedy,180,20,8.1
dynamic,180,14,12.3571
brute_force,180,14,12.2857
greedy,180,13,13.1538
dynamic,180,23,7.73913
brute_force,180,23,7.52174
greedy,180,23,7.52174
dynamic,180,23,7.82609
brute_force,180,23,7.82609
greedy,180,20,8.2
dynamic,180,19,9
brute_force,180,19,9
greedy,180,19,9.05263
dynamic,180,20,8.85
brute_force,180,20,8.15
greedy,180,20,8.15
dynamic,180,21,8.57143
brute_force,180,21,7.85714
greedy,180,21,8.33333
dynamic,180,16,11.0625
brute_force,180,16,10.6875
greedy,180,16,10.75
dynamic,180,20,8.9
brute_force,180,20,8.8
greedy,180,17,9.41176
dynamic,180,18,9.88889
brute_force,180,18,9.88889
greedy,180,18,9.88889
dynamic,180,20,8.95
brute_force,180,20,8.95
greedy,180,18,8.88889
dynamic,180,17,9.76471
brute_force,180,17,9.76471
greedy,180,17,10.5294
dynamic,180,21,8.33333
brute_force,180,21,7.90476
greedy,180,21,8.2381
dynamic,180,20,8.95
brute_force,180,20,8.55
greedy,180,18,9.77778
dynamic,180,18,9.83333
brute_force,180,18,9.83333
greedy,180,18,9.83333
dynamic,180,20,8.65
brute_force,180,20,8.65
greedy,180,18,9.16667
dynamic,180,19,9.47368
brute_force,180,19,9.05263
greedy,180,16,9.6875
dynamic,180,19,9.31579
brute_force,180,19,8.78947
greedy,180,19,8.78947
dynamic,180,19,9.47368
brute_force,180,19,8.78947
greedy,180,19,9.05263
dynamic,180,19,9.42105
brute_force,180,19,9.10526
greedy,180,18,8.94444
dynamic,180,22,7.63636
brute_force,180,22,7.63636
greedy,180,21,8.2381
dynamic,180,18,9.77778
brute_force,180,18,8.66667
greedy,180,18,8.66667
dynamic,180,18,9.83333
brute_force,180,18,9.83333
greedy,180,15,10.0667
dynamic,200,19,10.3158
brute_force,200,19,10
greedy,200,17,9.47059
dynamic,200,19,10.3158
brute_force,200,19,10
greedy,200,17,9.47059
dynamic,200,24,7.91667
brute_force,200,24,7.125
greedy,200,24,7.625
dynamic,200,21,9.52381
brute_force,200,21,9.14286
greedy,200,20,8.7
dynamic,200,22,8.95455
brute_force,200,22,8.86364
greedy,200,21,8.90476
dynamic,200,19,10.1579
brute_force,200,19,9.63158
greedy,200,19,9.63158
dynamic,200,18,11.1111
brute_force,200,18,11.1111
greedy,200,16,12
dynamic,200,23,8.26087
brute_force,200,23,7.6087
greedy,200,23,8.04348
dynamic,200,23,8.43478
brute_force,200,23,8.43478
greedy,200,23,8.43478
dynamic,200,23,8.6087
brute_force,200,23,7.69565
greedy,200,22,8.13636
dynamic,200,23,8.47826
brute_force,200,23,8.47826
greedy,200,23,8.47826
dynamic,200,20,9.7
brute_force,200,20,9.7
greedy,200,18,9.88889
dynamic,200,21,9.52381
brute_force,200,21,8.42857
greedy,200,21,9.47619
dynamic,200,15,13.2667
brute_force,200,15,12.6667
greedy,200,14,12.7857
dynamic,200,22,9.09091
brute_force,200,22,8.22727
greedy,200,21,8.71429
dynamic,200,21,9.2381
brute_force,200,21,8
greedy,200,21,9.2381
dynamic,200,19,10.5263
brute_force,200,19,10.5263
greedy,200,17,11.0588
dynamic,200,20,9.8
brute_force,200,20,9.1
greedy,200,19,10.3158
dynamic,200,21,8.90476
brute_force,200,21,8.80952
greedy,200,19,10.4737
dynamic,200,22,8.86364
brute_force,200,22,8.54545
greedy,200,20,8.4
dynamic,200,20,9.65
brute_force,200,20,9.05
greedy,200,18,10.8889
dynamic,200,18,11.1111
brute_force,200,18,10.6667
greedy,200,16,11.875
dynamic,200,18,11
brute_force,200,18,10.6667
greedy,200,18,10.6667
dynamic,200,23,7.86957
brute_force,200,23,7.86957
greedy,200,23,7.86957
dynamic,200,18,10.9444
brute_force,200,18,10.3889
greedy,200,18,10.3889
dynamic,200,19,10.1053
brute_force,200,19,10.1053
greedy,200,18,10.5556
dynamic,200,22,8.59091
brute_force,200,22,8.59091
greedy,200,21,8.47619
dynamic,200,21,9.52381
brute_force,200,21,9.52381
greedy,200,17,10.8235
dynamic,200,25,7.88
brute_force,200,25,7.08
greedy,200,25,7.76
dynamic,200,23,7.21739
brute_force,200,23,6.3913
greedy,200,23,8.3913
dynamic,200,25,7.72
brute_force,200,25,7.04
greedy,200,25,7.6
dynamic,200,19,9.57895
brute_force,200,19,9.57895
greedy,200,19,9.68421
dynamic,200,19,10.5263
brute_force,200,19,10.3684
greedy,200,17,10.5882
dynamic,200,22,9.09091
brute_force,200,22,9.09091
greedy,200,21,8.19048
dynamic,200,20,9.95
brute_force,200,20,9.7
greedy,200,19,9.63158
dynamic,200,21,9.14286
brute_force,200,21,8.80952
greedy,200,19,10.3158
dynamic,200,17,11.7059
brute_force,200,17,11.1765
greedy,200,16,11.5
dynamic,200,20,9.8
brute_force,200,20,9.4
greedy,200,19,9.10526
dynamic,200,22,8.45455
brute_force,200,22,8.45455
greedy,200,21,9.42857
dynamic,200,25,7.96
brute_force,200,25,7.96
greedy,200,23,7.95652
dynamic,200,21,9.38095
brute_force,200,21,9
greedy,200,20,9.6
dynamic,200,20,9.9
brute_force,200,20,9.2
greedy,200,20,9.2
dynamic,200,22,8.81818
brute_force,200,22,8.77273
greedy,200,21,9.04762
dynamic,200,22,8.5
brute_force,200,22,8.5
greedy,200,21,9.14286
dynamic,200,20,9.85
brute_force,200,20,9
greedy,200,19,8.57895
dynamic,200,27,7.40741
brute_force,200,27,7.37037
greedy,200,26,7.23077
dynamic,200,21,9.38095
brute_force,200,21,9.38095
greedy,200,19,10.0526
dynamic,200,27,7.25926
brute_force,200,27,7.18519
greedy,200,25,7.72
dynamic,200,19,10.2105
brute_force,200,19,10.2105
greedy,200,18,10.5
dynamic,200,21,9.47619
brute_force,200,21,9.38095
greedy,200,21,9.38095
dynamic,200,20,9.25
brute_force,200,20,9.05
greedy,200,20,9.25
dynamic,200,21,9.38095
brute_force,200,21,8.7619
greedy,200,19,9
dynamic,200,18,10.9444
brute_force,200,18,10.9444
greedy,200,18,10.9444
dynamic,200,15,13.1333
brute_force,200,15,12.0667
greedy,200,15,12.0667
dynamic,200,24,8.125
brute_force,200,24,8.125
greedy,200,23,8.56522
dynamic,200,19,10.2105
brute_force,200,19,10.0526
greedy,200,19,10.0526
dynamic,200,22,8.95455
brute_force,200,22,8.95455
greedy,200,21,9
dynamic,200,22,8.90909
brute_force,200,22,8.27273
greedy,200,21,9
dynamic,200,25,7.96
brute_force,200,25,7.96
greedy,200,25,7.96
dynamic,200,20,9.75
brute_force,200,20,9.75
greedy,200,19,10.4737
dynamic,200,21,8.90476
brute_force,200,21,8.90476
greedy,200,21,9.38095
dynamic,200,21,9.42857
brute_force,200,21,9.42857
greedy,200,20,9.75
dynamic,200,21,8.85714
brute_force,200,21,8.85714
greedy,200,20,9.1
dynamic,200,19,10.1579
brute_force,200,19,9.78947
greedy,200,18,11.0556
dynamic,200,21,9.38095
brute_force,200,21,9.38095
greedy,200,21,9.38095
dynamic,200,23,8.56522
brute_force,200,23,8.13043
greedy,200,22,8.27273
dynamic,200,20,9.7
brute_force,200,20,9
greedy,200,19,10
dynamic,200,21,9.28571
brute_force,200,21,8.61905
greedy,200,21,8.61905
dynamic,200,15,13.2
brute_force,200,15,12.5333
greedy,200,15,12.5333
dynamic,200,19,9.57895
brute_force,200,19,9.36842
greedy,200,18,10.7222
dynamic,200,24,8.29167
brute_force,200,24,7.95833
greedy,200,23,7.30435
dynamic,200,24,7.58333
brute_force,200,24,7.58333
greedy,200,24,7.58333
dynamic,200,20,9.85
brute_force,200,20,9.55
greedy,200,20,9.55
dynamic,200,22,8.59091
brute_force,200,22,8.27273
greedy,200,21,8.57143
dynamic,200,23,8.43478
brute_force,200,23,8.43478
greedy,200,22,8.95455
dynamic,200,23,8.6087
brute_force,200,23,8.6087
greedy,200,23,8.6087
dynamic,200,21,9.47619
brute_force,200,21,9.42857
greedy,200,19,10.1579
dynamic,200,21,9.38095
brute_force,200,21,9.04762
greedy,200,20,9.15
dynamic,200,23,8.65217
brute_force,200,23,8.21739
greedy,200,23,8.65217
dynamic,200,22,8.59091
brute_force,200,22,8.59091
greedy,200,22,8.59091
dynamic,200,21,9.04762
brute_force,200,21,8.66667
greedy,200,19,9.63158
dynamic,200,19,9.89474
brute_force,200,19,9.42105
greedy,200,19,9.42105
dynamic,200,24,8.04167
brute_force,200,24,7.79167
greedy,200,23,7.86957
dynamic,200,21,9.42857
brute_force,200,21,9.42857
greedy,200,19,9.10526
dynamic,200,20,9.85
brute_force,200,20,9.15
greedy,200,20,9.15
dynamic,200,23,8.43478
brute_force,200,23,7.78261
greedy,200,23,7.78261
dynamic,200,20,9.7
brute_force,200,20,9.45
greedy,200,19,9.47368
dynamic,200,22,8.90909
brute_force,200,22,8.81818
greedy,200,21,9
dynamic,200,20,9.75
brute_force,200,20,9.5
greedy,200,19,9.68421
dynamic,200,19,9.57895
brute_force,200,19,9.57895
greedy,200,18,9.94444
dynamic,200,21,9.52381
brute_force,200,21,9.33333
greedy,200,19,9.68421
dynamic,200,18,10.5556
brute_force,200,18,10.1667
greedy,200,18,10.8889
dynamic,200,22,8.95455
brute_force,200,22,8.04545
greedy,200,21,8.61905
dynamic,200,21,9.38095
brute_force,200,21,8.09524
greedy,200,21,9.14286
dynamic,200,23,8.56522
brute_force,200,23,8.3913
greedy,200,22,9.04545
dynamic,200,23,8.30435
brute_force,200,23,7.86957
greedy,200,21,8.71429
dynamic,200,18,10.8333
brute_force,200,18,10
greedy,200,18,10
dynamic,200,23,8.52174
brute_force,200,23,8.52174
greedy,200,23,8.52174
dynamic,200,21,9.09524
brute_force,200,21,9.09524
greedy,200,21,9.09524
dynamic,200,22,8.95455
brute_force,200,22,8.31818
greedy,200,21,9
dynamic,200,25,7.64
brute_force,200,25,7.64
greedy,200,24,8.16667
dynamic,200,24,8.125
brute_force,200,24,8.125
greedy,200,23,8.26087
dynamic,200,24,7.04167
brute_force,200,24,7.04167
greedy,200,24,8.16667
dynamic,200,20,9.9
brute_force,200,20,9.9
greedy,200,18,9.55556
dynamic,200,21,9.38095
brute_force,200,21,9.19048
greedy,200,20,9.35
dynamic,200,24,8.16667
brute_force,200,24,7.91667
greedy,200,24,7.91667
dynamic,200,21,9.38095
brute_force,200,21,8.80952
greedy,200,20,8.45
dynamic,200,21,9.52381
brute_force,200,21,8.80952
greedy,200,21,9.33333
dynamic,200,24,8.25
brute_force,200,24,6.625
greedy,200,24,8.08333
dynamic,200,24,8.25
brute_force,200,24,7.20833
greedy,200,23,7.73913
dynamic,200,18,11
brute_force,200,18,10.0556
greedy,200,16,12.3125
dynamic,200,21,9.38095
brute_force,200,21,8.90476
greedy,200,20,9.05
dynamic,200,20,9.95
brute_force,200,20,9.95
greedy,200,19,9.84211
dynamic,200,23,8.26087
brute_force,200,23,8.26087
greedy,200,23,8.26087
dynamic,200,19,10.4737
brute_force,200,19,9.68421
greedy,200,19,9.84211
dynamic,200,16,12.3125
brute_force,200,16,12.3125
greedy,200,14,12.8571
dynamic,200,23,8.34783
brute_force,200,23,8
greedy,200,23,8
dynamic,200,21,9.09524
brute_force,200,21,9.09524
greedy,200,21,9.09524
dynamic,200,25,7.68
brute_force,200,25,7.64
greedy,200,24,7.33333
dynamic,200,20,9.55
brute_force,200,20,9.55
greedy,200,18,10.8333
dynamic,200,19,10.2105
brute_force,200,19,10.2105
greedy,200,18,10.9444
dynamic,200,22,8.54545
brute_force,200,22,8.13636
greedy,200,21,7.90476
dynamic,200,17,11.4706
brute_force,200,17,10.7647
greedy,200,17,11.7059
dynamic,200,22,8.72727
brute_force,200,22,8.72727
greedy,200,21,9
dynamic,200,20,9.55
brute_force,200,20,8.95
greedy,200,20,9.85
dynamic,200,18,11.1111
brute_force,200,18,11.1111
greedy,200,17,10.4706
dynamic,200,17,11
brute_force,200,17,10.3529
greedy,200,16,11.6875
dynamic,200,23,8.3913
brute_force,200,23,7.30435
greedy,200,23,8.26087
dynamic,200,17,11.4118
brute_force,200,17,11.3529
greedy,200,17,11.3529
dynamic,200,22,9.04545
brute_force,200,22,8.59091
greedy,200,21,9.33333
dynamic,200,20,9.55
brute_force,200,20,9.55
greedy,200,19,10.3158
dynamic,200,21,9.33333
brute_force,200,21,9.33333
greedy,200,19,9.15789
dynamic,200,20,9.9
brute_force,200,20,9.65
greedy,200,20,9.95
dynamic,200,19,9.68421
brute_force,200,19,9.68421
greedy,200,19,10.4737
dynamic,200,21,9.42857
brute_force,200,21,9.42857
greedy,200,20,8.7
dynamic,200,25,7.44
brute_force,200,25,7.44
greedy,200,24,7.54167
dynamic,200,21,9.04762
brute_force,200,21,8.71429
greedy,200,21,8.71429
dynamic,200,21,9.04762
brute_force,200,21,9.04762
greedy,200,20,9.1
dynamic,200,24,7.79167
brute_force,200,24,7.79167
greedy,200,24,8.29167
dynamic,200,22,8.54545
brute_force,200,22,8.22727
greedy,200,22,8.22727
dynamic,200,23,8.34783
brute_force,200,23,8.21739
greedy,200,22,8.18182
dynamic,200,23,8.6087
brute_force,200,23,8.6087
greedy,200,21,8.19048
dynamic,200,23,8.43478
brute_force,200,23,6.86957
greedy,200,23,8.26087
dynamic,200,18,10.4444
brute_force,200,18,10.0556
greedy,200,18,10.8889
dynamic,200,20,10
brute_force,200,20,9.5
greedy,200,20,9.5
dynamic,200,21,9.28571
brute_force,200,21,9.28571
greedy,200,20,9.65
dynamic,200,18,10.7222
brute_force,200,18,10.7222
greedy,200,16,11.4375
dynamic,200,22,8.59091
brute_force,200,22,7.04545
greedy,200,22,7.77273
dynamic,200,20,9.95
brute_force,200,20,9.45
greedy,200,20,9.45
