random,100,3,32.6667,3,5,0
bad_greedy,100,9,8.44444,3,5,0
k=1,100,12,7.83333,3,5,28
k=2,100,12,7.83333,3,5,1185
greedy,100,4,17.5,4,5,0
random,100,1,93,4,5,0
bad_greedy,100,1,60,4,5,0
k=1,100,4,17.5,4,5,23
k=2,100,4,17.5,4,5,1189
greedy,100,8,12.5,2,5,1
random,100,1,97,2,5,0
bad_greedy,100,7,11.5714,2,5,0
k=1,100,8,11.375,2,5,26
k=2,100,8,11.375,2,5,1187
greedy,100,12,7.58333,3,5,1
random,100,5,19.4,3,5,0
bad_greedy,100,10,7.8,3,5,0
k=1,100,14,6.21429,3,5,23
k=2,100,14,6.21429,3,5,1166
greedy,100,3,21.6667,4,5,1
random,100,1,89,4,5,0
bad_greedy,100,1,55,4,5,0
k=1,100,3,21.6667,4,5,23
k=2,100,3,21.6667,4,5,1159
greedy,100,9,10.6667,2,5,1
random,100,3,33,2,5,0
bad_greedy,100,8,11.875,2,5,0
k=1,100,9,10.6667,2,5,33
k=2,100,9,10.6667,2,5,1176
greedy,100,14,6.35714,3,5,1
random,100,4,25,3,5,0
bad_greedy,100,11,8.09091,3,5,0
k=1,100,14,6.35714,3,5,32
k=2,100,14,6.35714,3,5,1174
greedy,100,5,15.4,4,5,0
random,100,1,87,4,5,0
bad_greedy,100,2,30.5,4,5,0
k=1,100,5,15.4,4,5,22
k=2,100,5,15.4,4,5,1183
greedy,100,11,8.54545,2,5,1
random,100,1,62,2,5,0
bad_greedy,100,10,7.7,2,5,0
k=1,100,11,8.54545,2,5,23
k=2,100,11,8.54545,2,5,1161
greedy,100,12,8.25,3,5,0
random,100,2,49.5,3,5,0
bad_greedy,100,8,10.5,3,5,0
k=1,100,12,8.25,3,5,24
k=2,100,12,8.25,3,5,1165
greedy,100,5,10.8,4,5,0
random,100,3,23.3333,4,5,0
bad_greedy,100,5,10.8,4,5,0
k=1,100,5,10.8,4,5,23
k=2,100,5,10.8,4,5,1201
greedy,100,14,5.71429,2,5,1
random,100,8,9.625,2,5,0
bad_greedy,100,13,7.69231,2,5,0
k=1,100,14,5.71429,2,5,24
k=2,100,14,5.71429,2,5,1129
greedy,100,14,6.85714,3,5,1
random,100,1,89,3,5,0
bad_greedy,100,15,6.46667,3,5,1
k=1,100,17,5.41176,3,5,25
k=2,100,19,5.10526,3,5,1150
greedy,100,5,11.4,4,5,0
random,100,1,88,4,5,0
bad_greedy,100,1,53,4,5,0
k=1,100,6,12,4,5,30
k=2,100,6,12,4,5,1150
greedy,100,6,16.5,2,5,1
random,100,3,29.3333,2,5,0
bad_greedy,100,3,24.3333,2,5,0
k=1,100,6,16.5,2,5,23
k=2,100,6,16.5,2,5,1199
greedy,100,10,9.2,3,5,1
random,100,4,24,3,5,0
bad_greedy,100,9,10.3333,3,5,0
k=1,100,10,8.6,3,5,23
k=2,100,10,8.6,3,5,1226
greedy,100,3,19.6667,4,5,1
random,100,1,59,4,5,0
bad_greedy,100,1,59,4,5,0
k=1,100,3,19.6667,4,5,25
k=2,100,3,19.6667,4,5,1194
greedy,100,7,13.7143,2,5,1
random,100,5,19.4,2,5,0
bad_greedy,100,3,31.6667,2,5,0
k=1,100,7,13.7143,2,5,22
k=2,100,7,13.7143,2,5,1180
greedy,100,16,6.25,3,5,1
random,100,2,49.5,3,5,0
bad_greedy,100,14,6.57143,3,5,0
k=1,100,16,6.25,3,5,24
k=2,100,16,6.25,3,5,1186
greedy,100,5,15.2,4,5,1
random,100,1,75,4,5,0
bad_greedy,100,1,56,4,5,0
k=1,100,5,15.2,4,5,25
k=2,100,5,15.2,4,5,1206
greedy,100,7,13.2857,2,5,1
random,100,7,13.5714,2,5,0
bad_greedy,100,7,13.2857,2,5,0
k=1,100,7,13.2857,2,5,28
k=2,100,7,13.2857,2,5,1162
greedy,100,12,7.16667,3,5,1
random,100,6,16.5,3,5,0
bad_greedy,100,10,8.5,3,5,0
k=1,100,12,7.16667,3,5,24
k=2,100,12,7.16667,3,5,1231
greedy,100,2,27,4,5,0
random,100,2,35,4,5,0
bad_greedy,100,2,27,4,5,0
k=1,100,3,27.3333,4,5,24
k=2,100,3,27.3333,4,5,1247
greedy,100,9,11.1111,2,5,1
random,100,3,31.3333,2,5,0
bad_greedy,100,3,30.3333,2,5,0
k=1,100,9,11.1111,2,5,24
k=2,100,9,11.1111,2,5,1171
greedy,100,12,7.33333,3,5,1
random,100,3,32.6667,3,5,0
bad_greedy,100,9,9.88889,3,5,0
k=1,100,12,7.33333,3,5,24
k=2,100,12,7.33333,3,5,1170
greedy,100,6,11.5,4,5,1
random,100,4,22,4,5,0
bad_greedy,100,3,19,4,5,0
k=1,100,6,11.5,4,5,24
k=2,100,6,11.5,4,5,1182
greedy,100,9,9.33333,2,5,2
random,100,3,28,2,5,0
bad_greedy,100,9,9.33333,2,5,0
k=1,100,9,9.33333,2,5,22
k=2,100,9,9.33333,2,5,1157
greedy,100,13,7.53846,3,5,1
random,100,6,15.6667,3,5,0
bad_greedy,100,10,8.2,3,5,0
k=1,100,13,7.30769,3,5,24
k=2,100,13,7.30769,3,5,1166
greedy,100,4,15.75,4,5,1
random,100,3,20.6667,4,5,0
bad_greedy,100,2,25,4,5,0
k=1,100,4,15.75,4,5,24
