algorithm,coverage,cost_per_coverage,radius,time
greedy,100,2.84,5,3
random,100,4.5,5,0
bad_greedy,100,4.5,5,1
k=1,100,2.83,5,53
k=2,100,2.83,5,2549
greedy,100,2.99,5,3
random,100,4.61,5,0
bad_greedy,100,4.61,5,1
k=1,100,2.96,5,51
k=2,100,2.94,5,2594
greedy,100,3.05,5,4
random,100,4.49,5,0
bad_greedy,100,4.49,5,1
k=1,100,2.96,5,57
k=2,100,2.96,5,3017
greedy,100,3.31,5,3
random,100,4.63,5,0
bad_greedy,100,4.63,5,1
k=1,100,3.3,5,62
k=2,100,3.3,5,3019
greedy,100,3.03,5,3
random,100,4.31,5,0
bad_greedy,100,4.31,5,1
k=1,100,3.01,5,60
k=2,100,3,5,2940
greedy,100,0.28,19,4
random,100,4.6,19,0
bad_greedy,100,4.6,19,2
k=1,100,0.27,19,31
k=2,100,0.27,19,1360
greedy,100,0.42,19,4
random,100,4.08,19,0
bad_greedy,100,4.08,19,2
k=1,100,0.38,19,32
k=2,100,0.37,19,1265
greedy,100,0.37,19,4
random,100,4.47,19,0
bad_greedy,100,4.47,19,1
k=1,100,0.33,19,28
k=2,100,0.32,19,1253
greedy,100,0.36,19,4
random,100,4.86,19,0
bad_greedy,100,4.86,19,2
k=1,100,0.3,19,28
k=2,100,0.26,19,1076
greedy,100,0.34,19,4
random,100,4.7,19,0
bad_greedy,100,4.7,19,1
k=1,100,0.33,19,21
k=2,100,0.31,19,935
greedy,100,0.32,19,3
random,100,4.3,19,0
bad_greedy,100,4.3,19,1
k=1,100,0.29,19,19
k=2,100,0.28,19,810
greedy,100,0.26,19,3
random,100,4.25,19,0
bad_greedy,100,4.25,19,1
k=1,100,0.24,19,16
k=2,100,0.24,19,705
greedy,100,0.32,19,3
random,100,4.32,19,0
bad_greedy,100,4.32,19,1
k=1,100,0.3,19,17
k=2,100,0.3,19,827
greedy,100,0.43,19,3
random,100,4.42,19,0
bad_greedy,100,4.42,19,1
k=1,100,0.4,19,18
k=2,100,0.38,19,784
greedy,100,0.32,19,3
random,100,4.74,19,0
bad_greedy,100,4.74,19,1
k=1,100,0.32,19,15
k=2,100,0.31,19,684
greedy,100,0.65,14,3
random,100,4.48,14,0
bad_greedy,100,4.48,14,1
k=1,100,0.62,14,23
k=2,100,0.6,14,1219
greedy,100,0.64,14,3
random,100,4.28,14,0
bad_greedy,100,4.28,14,1
k=1,100,0.63,14,25
k=2,100,0.62,14,1216
greedy,100,0.76,14,4
random,100,4.5,14,0
bad_greedy,100,4.5,14,2
k=1,100,0.68,14,28
k=2,100,0.65,14,1366
greedy,100,0.87,14,3
random,100,4.73,14,0
bad_greedy,100,4.73,14,1
k=1,100,0.83,14,40
k=2,100,0.79,14,1544
greedy,100,0.62,14,3
random,100,4.49,14,0
bad_greedy,100,4.49,14,1
k=1,100,0.55,14,26
k=2,100,0.55,14,1181
greedy,100,0.67,14,3
random,100,4.77,14,0
bad_greedy,100,4.77,14,1
k=1,100,0.66,14,23
k=2,100,0.65,14,1210
greedy,100,0.68,14,3
random,100,4.45,14,0
bad_greedy,100,4.45,14,1
k=1,100,0.66,14,27
k=2,100,0.66,14,1325
greedy,100,0.65,14,3
random,100,4.43,14,0
bad_greedy,100,4.43,14,1
k=1,100,0.59,14,24
k=2,100,0.57,14,1124
greedy,100,0.59,14,3
random,100,4.4,14,0
bad_greedy,100,4.4,14,1
k=1,100,0.59,14,24
k=2,100,0.58,14,1122
greedy,100,0.75,14,3
random,100,4.58,14,0
bad_greedy,100,4.58,14,1
k=1,100,0.72,14,25
k=2,100,0.69,14,1235
greedy,100,2.66,6,3
random,100,4.44,6,0
bad_greedy,100,4.44,6,1
k=1,100,2.6,6,54
k=2,100,2.6,6,2621
greedy,100,2.44,6,4
random,100,4.32,6,0
bad_greedy,100,4.32,6,2
k=1,100,2.38,6,56
k=2,100,2.38,6,2795
greedy,100,2.81,6,3
random,100,4.68,6,0
bad_greedy,100,4.68,6,1
k=1,100,2.78,6,52
k=2,100,2.75,6,2591
greedy,100,2.31,6,4
random,100,4.23,6,0
bad_greedy,100,4.23,6,1
k=1,100,2.25,6,48
k=2,100,2.25,6,2480
greedy,100,2.63,6,3
random,100,4.91,6,0
bad_greedy,100,4.91,6,1
k=1,100,2.56,6,50
k=2,100,2.53,6,2986
greedy,100,2.36,6,3
random,100,4.49,6,0
bad_greedy,100,4.49,6,1
