algorithm,budget,coverage,cost_per_coverage,distribution,radius,time
bad_greedy,1500,100,4.38,3,14,1
k=1,1500,100,0.6,3,14,23
k=2,1500,100,0.6,3,14,1090
greedy,1500,77,19.3377,4,14,3
random,1500,47,31.3191,4,14,0
bad_greedy,1500,58,24.8621,4,14,1
k=1,1500,77,19.3377,4,14,44
k=2,1500,77,19.3377,4,14,2136
greedy,1500,100,6.6,2,14,3
random,1500,98,15.3061,2,14,0
bad_greedy,1500,83,18.0723,2,14,1
k=1,1500,100,6.4,2,14,30
k=2,1500,100,6.4,2,14,1465
greedy,1500,100,0.85,3,14,3
random,1500,100,4.5,3,14,0
bad_greedy,1500,100,4.5,3,14,1
k=1,1500,100,0.8,3,14,25
k=2,1500,100,0.76,3,14,1206
greedy,1500,76,19.0263,4,14,3
random,1500,35,42.8571,4,14,0
bad_greedy,1500,46,30.8913,4,14,1
k=1,1500,78,19.2308,4,14,44
k=2,1500,78,19.141,4,14,2284
greedy,1500,100,5.4,2,14,3
random,1500,98,15.3061,2,14,0
bad_greedy,1500,87,17.2414,2,14,1
k=1,1500,100,5.4,2,14,25
k=2,1500,100,5.4,2,14,1230
greedy,1500,100,0.53,3,14,3
random,1500,100,4.39,3,14,0
bad_greedy,1500,100,4.39,3,14,1
k=1,1500,100,0.5,3,14,23
k=2,1500,100,0.48,3,14,1038
greedy,1500,75,19.9067,4,14,3
random,1500,46,32.5,4,14,0
bad_greedy,1500,48,29.5833,4,14,1
k=1,1500,76,19.1711,4,14,50
k=2,1500,77,19.3636,4,14,2261
greedy,1500,100,5.6,2,14,3
random,1500,96,15.625,2,14,0
bad_greedy,1500,88,17.0455,2,14,1
k=1,1500,100,5.6,2,14,26
k=2,1500,100,5.6,2,14,1244
greedy,1500,100,0.76,3,14,3
random,1500,100,4.44,3,14,0
bad_greedy,1500,100,4.44,3,14,1
k=1,1500,100,0.73,3,14,25
k=2,1500,100,0.7,3,14,1178
greedy,1500,84,17.3452,4,14,3
random,1500,47,31.7021,4,14,0
bad_greedy,1500,42,34,4,14,1
k=1,1500,84,17.3452,4,14,36
k=2,1500,84,17.3452,4,14,1652
greedy,1500,100,5.4,2,14,3
random,1500,98,15.3061,2,14,0
bad_greedy,1500,90,16.6667,2,14,1
k=1,1500,100,5.2,2,14,25
k=2,1500,100,5.2,2,14,1195
greedy,1500,100,0.6,3,14,3
random,1500,100,4.08,3,14,0
bad_greedy,1500,100,4.08,3,14,1
k=1,1500,100,0.57,3,14,25
k=2,1500,100,0.55,3,14,1122
greedy,1500,71,20.662,4,14,3
random,1500,52,28,4,14,0
bad_greedy,1500,36,39.1944,4,14,1
k=1,1500,71,20.5775,4,14,44
k=2,1500,71,20.5775,4,14,2239
greedy,1500,100,5.8,2,14,3
random,1500,96,15.625,2,14,0
bad_greedy,1500,85,17.6471,2,14,1
k=1,1500,100,5.8,2,14,28
k=2,1500,100,5.8,2,14,1322
greedy,1500,100,0.72,3,14,3
random,1500,100,4.63,3,14,0
bad_greedy,1500,100,4.63,3,14,1
k=1,1500,100,0.64,3,14,22
k=2,1500,100,0.62,3,14,1117
greedy,1500,73,19.8904,4,14,3
random,1500,39,38.4359,4,14,0
bad_greedy,1500,53,27.1887,4,14,1
k=1,1500,73,19.8904,4,14,40
k=2,1500,73,19.8904,4,14,1929
greedy,1500,100,6,2,14,3
random,1500,98,15.3061,2,14,0
bad_greedy,1500,86,17.4419,2,14,1
k=1,1500,100,5.8,2,14,27
k=2,1500,100,5.8,2,14,1293
greedy,1500,100,0.62,3,14,3
random,1500,100,4.41,3,14,0
bad_greedy,1500,100,4.41,3,14,1
k=1,1500,100,0.6,3,14,24
k=2,1500,100,0.58,3,14,1106
greedy,1500,76,19.6974,4,14,3
random,1500,44,33.5455,4,14,0
bad_greedy,1500,52,28.0962,4,14,1
k=1,1500,76,19.6447,4,14,46
k=2,1500,76,19.6447,4,14,2289
greedy,1500,100,5.2,2,14,3
random,1500,98,15.3061,2,14,0
bad_greedy,1500,83,18.0723,2,14,1
k=1,1500,100,4.8,2,14,24
k=2,1500,100,4.8,2,14,1106
greedy,1500,100,0.59,3,14,3
random,1500,100,4.27,3,14,0
bad_greedy,1500,100,4.27,3,14,1
k=1,1500,100,0.57,3,14,24
k=2,1500,100,0.55,3,14,1125
greedy,1500,76,19.4868,4,14,3
random,1500,45,33.1556,4,14,0
bad_greedy,1500,51,29.3137,4,14,2
k=1,1500,76,19.4474,4,14,48
k=2,1500,76,19.4474,4,14,2388
greedy,1500,100,5.6,2,15,4
random,1500,99,15.1515,2,15,0
bad_greedy,1500,86,17.4419,2,15,1
k=1,1500,100,5.4,2,15,26
k=2,1500,100,5.4,2,15,1300
greedy,1500,100,0.65,3,15,3
random,1500,100,4.55,3,15,0
bad_greedy,1500,100,4.55,3,15,1
k=1,1500,100,0.6,3,15,23
k=2,1500,100,0.57,3,15,1169
greedy,1500,75,19.52,4,15,3
random,1500,48,31.2292,4,15,0
bad_greedy,1500,39,36.5128,4,15,1
k=1,1500,75,19.28,4,15,45
k=2,1500,76,19.7105,4,15,2396
greedy,1500,100,4.8,2,15,3
random,1500,98,15.3061,2,15,0
bad_greedy,1500,90,16.6667,2,15,1
k=1,1500,100,4.6,2,15,27
k=2,1500,100,4.6,2,15,1199
greedy,1500,100,0.75,3,15,3
random,1500,100,4.49,3,15,0
bad_greedy,1500,100,4.49,3,15,2
k=1,1500,100,0.68,3,15,34
k=2,1500,100,0.65,3,15,1186
greedy,1500,83,17.6867,4,15,3
random,1500,39,37.4359,4,15,0
bad_greedy,1500,45,32.3111,4,15,2
k=1,1500,84,17.4286,4,15,43
k=2,1500,84,17.4286,4,15,2230
greedy,1500,100,5.6,2,15,3
random,1500,96,15.625,2,15,0
bad_greedy,1500,88,17.0455,2,15,1
k=1,1500,100,5.2,2,15,26
k=2,1500,100,5.2,2,15,1353
greedy,1500,100,0.88,3,15,3
random,1500,100,4.63,3,15,0
bad_greedy,1500,100,4.63,3,15,1
k=1,1500,100,0.81,3,15,25
k=2,1500,100,0.79,3,15,1265
greedy,1500,74,20.0405,4,15,3
random,1500,38,38.5789,4,15,0
bad_greedy,1500,47,31.383,4,15,1
k=1,1500,74,19.8378,4,15,61
k=2,1500,74,19.8378,4,15,2599
greedy,1500,100,4,2,15,3
random,1500,100,15,2,15,0
bad_greedy,1500,88,17.0455,2,15,1
k=1,1500,100,4,2,15,22
k=2,1500,100,4,2,15,1051
greedy,1500,100,0.57,3,15,3
random,1500,100,4.48,3,15,0
bad_greedy,1500,100,4.48,3,15,1
k=1,1500,100,0.55,3,15,22
k=2,1500,100,0.53,3,15,1143
greedy,1500,75,19.9067,4,15,3
random,1500,33,45.3333,4,15,0
bad_greedy,1500,50,28.22,4,15,1
k=1,1500,75,19.48,4,15,50
k=2,1500,75,19.24,4,15,2346
greedy,1500,100,5.4,2,15,4
random,1500,98,15.3061,2,15,0
bad_greedy,1500,90,16.6667,2,15,1
k=1,1500,100,5.4,2,15,25
k=2,1500,100,5.4,2,15,1297
greedy,1500,100,0.65,3,15,3
random,1500,100,4.59,3,15,0
bad_greedy,1500,100,4.59,3,15,1
k=1,1500,100,0.65,3,15,25
k=2,1500,100,0.64,3,15,1470
greedy,1500,79,18.2785,4,15,3
random,1500,56,26.7321,4,15,0
bad_greedy,1500,45,32.8444,4,15,2
k=1,1500,80,18.375,4,15,47
k=2,1500,80,18.375,4,15,2488
greedy,1500,100,5.2,2,15,3
random,1500,98,15.3061,2,15,0
bad_greedy,1500,91,16.4835,2,15,1
k=1,1500,100,5.2,2,15,25
k=2,1500,100,5.2,2,15,1219
greedy,1500,100,0.63,3,15,3
random,1500,100,4.75,3,15,0
bad_greedy,1500,100,4.75,3,15,1
k=1,1500,100,0.61,3,15,23
k=2,1500,100,0.59,3,15,1175
greedy,1500,76,18.8421,4,15,3
random,1500,42,34.7143,4,15,0
bad_greedy,1500,43,34.2791,4,15,1
k=1,1500,77,18.6234,4,15,51
k=2,1500,77,18.6234,4,15,2674
greedy,1500,100,5,2,15,3
random,1500,98,15.3061,2,15,0
bad_greedy,1500,85,17.6471,2,15,1
k=1,1500,100,5,2,15,24
k=2,1500,100,5,2,15,1219
greedy,1500,100,0.63,3,15,3
random,1500,100,4.4,3,15,0
bad_greedy,1500,100,4.4,3,15,1
k=1,1500,100,0.61,3,15,22
k=2,1500,100,0.59,3,15,1044
greedy,1500,77,19.3247,4,15,3
random,1500,45,32.4,4,15,0
bad_greedy,1500,39,38,4,15,1
k=1,1500,77,18.9481,4,15,53
k=2,1500,78,19.141,4,15,2246
greedy,1500,100,4.8,2,15,3
random,1500,98,15.3061,2,15,0
bad_greedy,1500,90,16.6667,2,15,1
k=1,1500,100,4.6,2,15,23
k=2,1500,100,4.6,2,15,1217
greedy,1500,100,0.7,3,15,3
random,1500,100,4.59,3,15,0
bad_greedy,1500,100,4.59,3,15,1
k=1,1500,100,0.67,3,15,22
k=2,1500,100,0.66,3,15,1092
greedy,1500,76,19.3421,4,15,3
random,1500,44,33.7727,4,15,0
bad_greedy,1500,39,38.2308,4,15,1
k=1,1500,77,19.2987,4,15,38
k=2,1500,77,19.2987,4,15,1936
greedy,1500,100,6,2,15,3
random,1500,96,15.625,2,15,0
bad_greedy,1500,85,17.6471,2,15,1
k=1,1500,100,5.8,2,15,35
k=2,1500,100,5.8,2,15,1409
greedy,1500,100,0.44,3,15,3
random,1500,100,4.19,3,15,0
bad_greedy,1500,100,4.19,3,15,1
k=1,1500,100,0.42,3,15,23
k=2,1500,100,0.4,3,15,1192
greedy,1500,77,19.3117,4,15,3
random,1500,47,31.7872,4,15,0
bad_greedy,1500,34,42.4118,4,15,1
k=1,1500,78,19.1667,4,15,59
k=2,1500,78,19.1667,4,15,2122
greedy,1500,100,5.6,2,15,3
random,1500,98,15.3061,2,15,0
bad_greedy,1500,83,18.0723,2,15,2
k=1,1500,100,5.4,2,15,28
k=2,1500,100,5.4,2,15,1322
greedy,1500,100,0.51,3,15,3
random,1500,100,4.42,3,15,0
bad_greedy,1500,100,4.42,3,15,1
k=1,1500,100,0.5,3,15,25
k=2,1500,100,0.5,3,15,1154
greedy,1500,80,18.425,4,15,3
random,1500,38,39.2895,4,15,0
bad_greedy,1500,56,25.625,4,15,1
k=1,1500,80,18.425,4,15,39
k=2,1500,80,18.425,4,15,1904
greedy,300,72,4.16667,2,11,4
random,300,39,7.69231,2,11,0
bad_greedy,300,31,9.67742,2,11,1
k=1,300,72,4.16667,2,11,49
k=2,300,72,4.16667,2,11,2414
greedy,300,100,1.34,3,11,3
random,300,96,3.125,3,11,0
bad_greedy,300,96,3.07292,3,11,1
k=1,300,100,1.29,3,11,37
k=2,300,100,1.28,3,11,1688
greedy,300,25,11.88,4,11,4
random,300,10,29.4,4,11,0
bad_greedy,300,10,27.3,4,11,1
k=1,300,25,11.88,4,11,66
k=2,300,25,11.88,4,11,3421
greedy,300,79,3.79747,2,11,3
random,300,46,6.52174,2,11,0
bad_greedy,300,41,7.31707,2,11,1
k=1,300,79,3.79747,2,11,44
k=2,300,79,3.79747,2,11,2300
greedy,300,100,0.89,3,11,3
random,300,96,3.125,3,11,0
bad_greedy,300,100,2.99,3,11,1
k=1,300,100,0.88,3,11,35
k=2,300,100,0.87,3,11,1546
greedy,300,23,11.4348,4,11,3
random,300,7,38,4,11,0
bad_greedy,300,11,24.6364,4,11,1
k=1,300,23,11.4348,4,11,62
k=2,300,23,11.4348,4,11,3289
greedy,300,67,4.47761,2,11,3
random,300,37,8.10811,2,11,0
bad_greedy,300,31,9.67742,2,11,1
k=1,300,68,4.41176,2,11,54
k=2,300,69,4.34783,2,11,2675
greedy,300,100,0.96,3,11,3
random,300,96,3.125,3,11,0
bad_greedy,300,98,3.03061,3,11,1
k=1,300,100,0.95,3,11,30
k=2,300,100,0.95,3,11,1516
greedy,300,28,10.1429,4,11,3
random,300,9,32,4,11,0
bad_greedy,300,20,12.9,4,11,1
k=1,300,28,10.1429,4,11,62
k=2,300,29,10.3103,4,11,3305
greedy,300,69,4.34783,2,11,3
random,300,40,7.5,2,11,0
bad_greedy,300,26,11.5385,2,11,1
k=1,300,70,4.28571,2,11,54
k=2,300,70,4.28571,2,11,2444
greedy,300,100,1.23,3,11,3
random,300,96,3.125,3,11,0
bad_greedy,300,96,3.125,3,11,1
k=1,300,100,1.14,3,11,33
k=2,300,100,1.11,3,11,1702
greedy,300,21,12.8571,4,11,3
random,300,11,27.0909,4,11,0
bad_greedy,300,17,15.2941,4,11,2
k=1,300,22,13.1364,4,11,63
k=2,300,22,13.1364,4,11,3362
greedy,300,72,4.16667,2,11,3
random,300,39,7.69231,2,11,0
bad_greedy,300,29,10.3448,2,11,1
k=1,300,73,4.10959,2,11,47
k=2,300,73,4.10959,2,11,2508
greedy,300,100,1.08,3,11,3
random,300,98,3.06122,3,11,0
bad_greedy,300,99,3.0202,3,11,1
k=1,300,100,1.05,3,11,40
k=2,300,100,1.03,3,11,1637
greedy,300,24,10.875,4,11,3
random,300,9,32.2222,4,11,0
bad_greedy,300,9,29.1111,4,11,1
k=1,300,24,10.875,4,11,65
k=2,300,24,10.875,4,11,3379
greedy,300,68,4.41176,2,11,3
random,300,43,6.97674,2,11,0
bad_greedy,300,31,9.67742,2,11,1
k=1,300,68,4.41176,2,11,56
k=2,300,68,4.41176,2,11,2699
greedy,300,100,1.07,3,11,3
random,300,95,3.15789,3,11,0
bad_greedy,300,98,3.04082,3,11,1
k=1,300,100,1.01,3,11,31
k=2,300,100,0.99,3,11,1676
greedy,300,23,12.5652,4,11,3
random,300,13,23.0769,4,11,0
bad_greedy,300,12,21.6667,4,11,1
k=1,300,23,12.5652,4,11,82
k=2,300,23,12.5652,4,11,3376
greedy,300,69,4.34783,2,11,3
random,300,46,6.52174,2,11,0
bad_greedy,300,32,9.375,2,11,2
k=1,300,69,4.34783,2,11,48
k=2,300,69,4.34783,2,11,2840
greedy,300,100,1.19,3,11,3
random,300,93,3.22581,3,11,0
bad_greedy,300,98,3.0102,3,11,1
k=1,300,100,1.14,3,11,35
k=2,300,100,1.12,3,11,1685
greedy,300,24,10.5833,4,11,3
random,300,13,22.0769,4,11,0
bad_greedy,300,13,19.6154,4,11,1
k=1,300,24,10.5833,4,11,66
k=2,300,24,10.5833,4,11,3325
greedy,300,79,3.79747,2,11,3
random,300,45,6.66667,2,11,0
bad_greedy,300,29,10.3448,2,11,1
k=1,300,80,3.75,2,11,44
k=2,300,80,3.75,2,11,2345
greedy,300,100,1.26,3,11,4
random,300,97,3.09278,3,11,0
bad_greedy,300,96,3.10417,3,11,1
k=1,300,100,1.2,3,11,34
k=2,300,100,1.19,3,11,1780
greedy,300,24,12.3333,4,11,3
random,300,7,38.5714,4,11,0
bad_greedy,300,15,17,4,11,1
k=1,300,24,12,4,11,71
k=2,300,24,12,4,11,3430
greedy,300,73,4.10959,2,11,3
random,300,57,5.26316,2,11,0
bad_greedy,300,39,7.69231,2,11,1
k=1,300,73,4.10959,2,11,46
k=2,300,73,4.10959,2,11,2443
greedy,300,100,1.25,3,11,3
random,300,94,3.17021,3,11,0
bad_greedy,300,97,3.08247,3,11,2
k=1,300,100,1.21,3,11,34
k=2,300,100,1.18,3,11,1673
greedy,300,24,10.5833,4,11,3
random,300,14,19.5,4,11,0
bad_greedy,300,10,25.6,4,11,1
k=1,300,27,11.1111,4,11,62
k=2,300,27,11.1111,4,11,3395
greedy,300,77,3.8961,2,11,3
random,300,54,5.55556,2,11,0
bad_greedy,300,38,7.89474,2,11,2
k=1,300,77,3.8961,2,11,51
k=2,300,77,3.8961,2,11,2387
greedy,300,100,1.09,3,11,3
random,300,96,3.125,3,11,0
bad_greedy,300,98,3.0102,3,11,2
k=1,300,100,1.04,3,11,43
k=2,300,100,1.02,3,11,1653
greedy,300,23,12,4,11,3
random,300,2,126,4,11,0
bad_greedy,300,9,28.6667,4,11,1
k=1,300,23,12,4,11,90
k=2,300,23,12,4,11,3378
greedy,1100,100,8.2,2,11,4
random,1100,92,11.9565,2,11,0
bad_greedy,1100,75,14.6667,2,11,1
k=1,1100,100,8,2,11,35
k=2,1100,100,8,2,11,1807
greedy,1100,100,1.19,3,11,3
random,1100,100,4.44,3,11,0
bad_greedy,1100,100,4.44,3,11,1
k=1,1100,100,1.15,3,11,33
k=2,1100,100,1.14,3,11,1688
greedy,1100,53,20.1321,4,11,3
random,1100,15,71.3333,4,11,0
bad_greedy,1100,34,32.2059,4,11,1
k=1,1100,53,20.1321,4,11,57
k=2,1100,53,20.1321,4,11,2775
greedy,1100,100,7.2,2,11,3
random,1100,91,12.0879,2,11,0
bad_greedy,1100,81,13.5802,2,11,1
k=1,1100,100,7.2,2,11,34
k=2,1100,100,7.2,2,11,1573
greedy,1100,100,1.01,3,11,3
random,1100,100,4.5,3,11,0
bad_greedy,1100,100,4.5,3,11,1
k=1,1100,100,0.99,3,11,32
k=2,1100,100,0.96,3,11,1485
greedy,1100,54,19.8889,4,11,3
random,1100,33,33.0303,4,11,0
bad_greedy,1100,35,30.8286,4,11,1
k=1,1100,55,19.1818,4,11,54
k=2,1100,55,19.1273,4,11,2700
greedy,1100,100,7,2,11,3
random,1100,86,12.7907,2,11,0
bad_greedy,1100,70,15.7143,2,11,1
k=1,1100,100,6.8,2,11,37
k=2,1100,100,6.6,2,11,1696
greedy,1100,100,1.22,3,11,3
random,1100,100,4.69,3,11,0
bad_greedy,1100,100,4.69,3,11,1
k=1,1100,100,1.19,3,11,34
k=2,1100,100,1.17,3,11,1674
greedy,1100,54,19.8889,4,11,3
random,1100,33,33.2121,4,11,0
bad_greedy,1100,37,28.3514,4,11,1
k=1,1100,55,19.9455,4,11,56
k=2,1100,55,19.9455,4,11,2805
greedy,1100,100,8.4,2,11,3
random,1100,91,12.0879,2,11,0
bad_greedy,1100,72,15.2778,2,11,1
k=1,1100,100,8.4,2,11,37
k=2,1100,100,8.4,2,11,1803
greedy,1100,100,1.2,3,11,3
random,1100,100,4.48,3,11,0
bad_greedy,1100,100,4.48,3,11,1
k=1,1100,100,1.19,3,11,32
k=2,1100,100,1.18,3,11,1621
greedy,1100,49,22.2857,4,11,4
random,1100,20,54.7,4,11,0
bad_greedy,1100,29,36.6552,4,11,1
k=1,1100,49,22.2857,4,11,52
k=2,1100,49,22.2857,4,11,2638
greedy,1100,100,6.8,2,11,3
random,1100,91,12.0879,2,11,0
bad_greedy,1100,85,12.9412,2,11,1
k=1,1100,100,6.6,2,11,31
k=2,1100,100,6.6,2,11,1470
greedy,1100,100,1.04,3,11,3
random,1100,100,4.26,3,11,0
bad_greedy,1100,100,4.26,3,11,1
k=1,1100,100,1.01,3,11,32
k=2,1100,100,0.99,3,11,1539
greedy,1100,56,19.1429,4,11,3
random,1100,22,48.4545,4,11,0
bad_greedy,1100,34,31.1765,4,11,1
k=1,1100,57,18.9298,4,11,56
k=2,1100,57,18.9298,4,11,2852
greedy,1100,100,7.6,2,11,3
random,1100,90,12.2222,2,11,0
bad_greedy,1100,75,14.6667,2,11,1
k=1,1100,100,7.6,2,11,33
k=2,1100,100,7.6,2,11,1636
greedy,1100,100,1.28,3,11,3
random,1100,100,4.61,3,11,0
bad_greedy,1100,100,4.61,3,11,1
k=1,1100,100,1.26,3,11,33
k=2,1100,100,1.24,3,11,1571
greedy,1100,60,18.2333,4,11,3
random,1100,39,28.0513,4,11,0
bad_greedy,1100,34,31.2941,4,11,1
k=1,1100,60,18.2333,4,11,54
k=2,1100,60,18.2333,4,11,2688
greedy,1100,100,7.2,2,11,3
random,1100,86,12.7907,2,11,0
bad_greedy,1100,77,14.2857,2,11,2
k=1,1100,100,7,2,11,32
k=2,1100,100,7,2,11,1527
greedy,1100,100,1.15,3,11,3
random,1100,100,4.39,3,11,0
bad_greedy,1100,100,4.39,3,11,1
k=1,1100,100,1.13,3,11,33
k=2,1100,100,1.12,3,11,1619
greedy,1100,54,19.9074,4,11,3
random,1100,36,30.1389,4,11,0
bad_greedy,1100,32,32.6562,4,11,1
k=1,1100,54,19.7222,4,11,67
k=2,1100,54,19.7222,4,11,2881
greedy,1100,100,6.8,2,11,3
random,1100,91,12.0879,2,11,0
bad_greedy,1100,74,14.8649,2,11,1
k=1,1100,100,6.8,2,11,36
k=2,1100,100,6.8,2,11,1460
greedy,1100,100,1.18,3,11,3
random,1100,100,4.73,3,11,0
bad_greedy,1100,100,4.73,3,11,1
k=1,1100,100,1.14,3,11,30
k=2,1100,100,1.12,3,11,1447
greedy,1100,55,19.4545,4,11,4
random,1100,28,38.6071,4,11,0
bad_greedy,1100,28,38.8214,4,11,1
k=1,1100,55,19.4545,4,11,54
k=2,1100,55,19.4545,4,11,2828
greedy,1100,100,7.2,2,11,3
random,1100,94,11.7021,2,11,0
bad_greedy,1100,70,15.7143,2,11,1
k=1,1100,100,7,2,11,42
k=2,1100,100,7,2,11,1590
greedy,1100,100,0.86,3,11,3
random,1100,100,4.53,3,11,0
bad_greedy,1100,100,4.53,3,11,1
k=1,1100,100,0.83,3,11,28
k=2,1100,100,0.81,3,11,1317
greedy,1100,58,18.569,4,11,3
random,1100,32,33.8125,4,11,0
bad_greedy,1100,42,25.3333,4,11,1
k=1,1100,58,18.569,4,11,53
k=2,1100,58,18.569,4,11,2813
greedy,1100,100,7.8,2,11,3
random,1100,88,12.5,2,11,0
bad_greedy,1100,83,13.253,2,11,1
k=1,1100,100,7.8,2,11,37
k=2,1100,100,7.8,2,11,1691
greedy,1100,100,0.92,3,11,3
random,1100,100,4.34,3,11,0
bad_greedy,1100,100,4.34,3,11,1
k=1,1100,100,0.85,3,11,31
k=2,1100,100,0.81,3,11,1467
greedy,1100,50,21.72,4,11,3
random,1100,22,48.1818,4,11,0
bad_greedy,1100,32,33.875,4,11,1
k=1,1100,50,21.72,4,11,63
k=2,1100,50,21.72,4,11,2891
greedy,2700,100,7.8,2,11,5
random,2700,100,20,2,11,0
bad_greedy,2700,100,20,2,11,1
k=1,2700,100,7.6,2,11,34
k=2,2700,100,7.6,2,11,1630
greedy,2700,100,1.27,3,11,3
random,2700,100,4.66,3,11,0
bad_greedy,2700,100,4.66,3,11,1
k=1,2700,100,1.18,3,11,32
k=2,2700,100,1.16,3,11,1508
greedy,2700,74,36.1486,4,11,4
random,2700,47,57.0851,4,11,0
bad_greedy,2700,45,57.6222,4,11,1
k=1,2700,74,36.1486,4,11,46
k=2,2700,74,36.1486,4,11,2277
greedy,2700,100,8,2,11,3
random,2700,100,20,2,11,0
bad_greedy,2700,100,20,2,11,1
k=1,2700,100,7.6,2,11,35
k=2,2700,100,7.6,2,11,1626
greedy,2700,100,0.82,3,11,3
random,2700,100,4.03,3,11,0
bad_greedy,2700,100,4.03,3,11,1
k=1,2700,100,0.77,3,11,29
k=2,2700,100,0.75,3,11,1384
greedy,2700,81,33.3333,4,11,3
random,2700,49,55,4,11,0
bad_greedy,2700,60,43.3,4,11,1
k=1,2700,81,33.3333,4,11,49
k=2,2700,81,33.3333,4,11,2154
greedy,2700,100,7.6,2,11,3
random,2700,100,20,2,11,0
bad_greedy,2700,100,20,2,11,1
k=1,2700,100,7.6,2,11,34
k=2,2700,100,7.6,2,11,1576
greedy,2700,100,0.98,3,11,3
random,2700,100,4.32,3,11,0
bad_greedy,2700,100,4.32,3,11,1
k=1,2700,100,0.96,3,11,31
k=2,2700,100,0.94,3,11,1500
greedy,2700,75,34.7733,4,11,3
random,2700,50,53.96,4,11,0
bad_greedy,2700,50,52.7,4,11,1
k=1,2700,76,34.3553,4,11,48
k=2,2700,76,34.2763,4,11,2261
greedy,2700,100,7.8,2,11,3
random,2700,100,20,2,11,0
bad_greedy,2700,100,20,2,11,1
k=1,2700,100,7.6,2,11,33
k=2,2700,100,7.6,2,11,1619
greedy,2700,100,1.17,3,11,3
random,2700,100,4.76,3,11,0
bad_greedy,2700,100,4.76,3,11,1
k=1,2700,100,1.1,3,11,31
k=2,2700,100,1.1,3,11,1437
greedy,2700,87,30.908,4,11,3
random,2700,45,59.6444,4,11,0
bad_greedy,2700,74,35.2703,4,11,1
k=1,2700,87,30.5057,4,11,38
k=2,2700,87,30.3563,4,11,1795
greedy,2700,100,7.6,2,11,3
random,2700,100,20,2,11,0
bad_greedy,2700,100,20,2,11,1
k=1,2700,100,7.4,2,11,32
k=2,2700,100,7.4,2,11,1545
greedy,2700,100,0.95,3,11,3
random,2700,100,4.59,3,11,0
bad_greedy,2700,100,4.59,3,11,1
k=1,2700,100,0.92,3,11,30
k=2,2700,100,0.91,3,11,1398
greedy,2700,86,30.7674,4,11,3
random,2700,53,50.1132,4,11,0
bad_greedy,2700,63,42.2381,4,11,1
k=1,2700,86,30.7674,4,11,45
k=2,2700,86,30.7674,4,11,2076
greedy,2700,100,7.2,2,11,3
random,2700,100,20,2,11,0
bad_greedy,2700,100,20,2,11,1
k=1,2700,100,7.2,2,11,32
k=2,2700,100,7.2,2,11,1527
greedy,2700,100,1.16,3,11,3
random,2700,100,4.59,3,11,0
bad_greedy,2700,100,4.59,3,11,1
k=1,2700,100,1.14,3,11,32
k=2,2700,100,1.12,3,11,1531
greedy,2700,81,32.642,4,11,3
random,2700,49,54.8367,4,11,0
bad_greedy,2700,58,46.2069,4,11,1
k=1,2700,81,32.4321,4,11,43
k=2,2700,81,32.2963,4,11,2228
greedy,2700,100,7.8,2,11,3
random,2700,100,20,2,11,0
bad_greedy,2700,100,20,2,11,1
k=1,2700,100,7.8,2,11,34
k=2,2700,100,7.8,2,11,1669
greedy,2700,100,1.35,3,11,3
random,2700,100,4.89,3,11,0
bad_greedy,2700,100,4.89,3,11,1
k=1,2700,100,1.27,3,11,31
k=2,2700,100,1.24,3,11,1442
greedy,2700,80,32.6125,4,11,3
random,2700,51,52.3725,4,11,0
bad_greedy,2700,58,44.7414,4,11,1
k=1,2700,81,33.0247,4,11,46
k=2,2700,81,32.4568,4,11,2308
greedy,2700,100,6.8,2,11,3
random,2700,100,20,2,11,0
bad_greedy,2700,100,20,2,11,1
k=1,2700,100,6.8,2,11,33
k=2,2700,100,6.8,2,11,1469
greedy,2700,100,1.09,3,11,3
random,2700,100,4.44,3,11,0
bad_greedy,2700,100,4.44,3,11,1
k=1,2700,100,1.05,3,11,32
k=2,2700,100,1.03,3,11,1547
greedy,2700,81,32.321,4,11,4
random,2700,46,58.1739,4,11,0
bad_greedy,2700,59,44.4915,4,11,1
k=1,2700,81,32.321,4,11,41
k=2,2700,81,32.321,4,11,2022
greedy,2700,100,7.8,2,11,4
random,2700,100,20,2,11,0
bad_greedy,2700,100,20,2,11,1
k=1,2700,100,7.6,2,11,34
k=2,2700,100,7.6,2,11,1591
greedy,2700,100,1.32,3,11,4
random,2700,100,4.74,3,11,0
bad_greedy,2700,100,4.74,3,11,1
k=1,2700,100,1.22,3,11,32
k=2,2700,100,1.19,3,11,1500
greedy,2700,74,35.4865,4,11,4
random,2700,45,59.1556,4,11,0
bad_greedy,2700,62,42.0645,4,11,1
k=1,2700,75,34.92,4,11,47
k=2,2700,75,34.92,4,11,2252
greedy,2700,100,7,2,11,3
random,2700,100,20,2,11,0
bad_greedy,2700,100,20,2,11,1
k=1,2700,100,7,2,11,31
k=2,2700,100,7,2,11,1501
greedy,2700,100,0.96,3,11,4
random,2700,100,4.3,3,11,0
bad_greedy,2700,100,4.3,3,11,1
k=1,2700,100,0.96,3,11,29
k=2,2700,100,0.96,3,11,1414
greedy,2700,82,31.9268,4,11,3
random,2700,49,54.2449,4,11,0
bad_greedy,2700,60,44.8833,4,11,1
k=1,2700,82,31.9268,4,11,42
k=2,2700,82,31.9268,4,11,2014
greedy,1500,100,8.8,2,9,4
random,1500,95,15.7895,2,9,0
bad_greedy,1500,84,17.8571,2,9,1
k=1,1500,100,8.6,2,9,38
k=2,1500,100,8.6,2,9,1918
