algorithm,budget,coverage,cost_per_coverage,distribution,radius,time
bad_greedy,2100,100,20,2,11,1
k=1,2100,100,7,2,11,32
k=2,2100,100,7,2,11,1529
greedy,2100,100,1.16,3,11,3
random,2100,100,4.59,3,11,0
bad_greedy,2100,100,4.59,3,11,1
k=1,2100,100,1.12,3,11,32
k=2,2100,100,1.1,3,11,1577
greedy,2100,73,28.0548,4,11,3
random,2100,35,60,4,11,0
bad_greedy,2100,42,48.0952,4,11,1
k=1,2100,73,28.0548,4,11,46
k=2,2100,73,28.0548,4,11,2160
greedy,2100,100,7.4,2,11,3
random,2100,100,20,2,11,0
bad_greedy,2100,100,20,2,11,1
k=1,2100,100,7.4,2,11,33
k=2,2100,100,7.4,2,11,1586
greedy,2100,100,1.06,3,11,3
random,2100,100,4.38,3,11,0
bad_greedy,2100,100,4.38,3,11,1
k=1,2100,100,1.04,3,11,31
k=2,2100,100,1.03,3,11,1481
greedy,2100,72,28.8611,4,11,3
random,2100,44,47.5909,4,11,0
bad_greedy,2100,45,46.6444,4,11,1
k=1,2100,72,28.8333,4,11,43
k=2,2100,72,28.8333,4,11,2171
greedy,2100,100,7.2,2,11,3
random,2100,100,20,2,11,0
bad_greedy,2100,100,20,2,11,1
k=1,2100,100,7,2,11,32
k=2,2100,100,7,2,11,1568
greedy,2100,100,1.2,3,11,3
random,2100,100,4.67,3,11,0
bad_greedy,2100,100,4.67,3,11,1
k=1,2100,100,1.16,3,11,33
k=2,2100,100,1.13,3,11,1617
greedy,2100,79,26.443,4,11,3
random,2100,37,56,4,11,0
bad_greedy,2100,53,38.6792,4,11,1
k=1,2100,79,26.443,4,11,41
k=2,2100,79,26.443,4,11,1953
greedy,300,71,4.22535,2,11,3
random,300,47,6.38298,2,11,0
bad_greedy,300,33,9.09091,2,11,1
k=1,300,71,4.22535,2,11,49
k=2,300,71,4.22535,2,11,2355
greedy,300,100,1.06,3,11,3
random,300,94,3.19149,3,11,0
bad_greedy,300,98,3.03061,3,11,1
k=1,300,100,1.03,3,11,30
k=2,300,100,1.01,3,11,1445
greedy,300,32,9.125,4,11,3
random,300,4,65,4,11,0
bad_greedy,300,18,14.3333,4,11,1
k=1,300,32,9.125,4,11,75
k=2,300,32,9.125,4,11,3203
greedy,300,72,4.16667,2,11,3
random,300,42,7.14286,2,11,0
bad_greedy,300,31,9.67742,2,11,1
k=1,300,73,4.10959,2,11,44
k=2,300,73,4.10959,2,11,2146
greedy,300,100,1.21,3,11,3
random,300,96,3.125,3,11,0
bad_greedy,300,100,3,3,11,1
k=1,300,100,1.16,3,11,34
k=2,300,100,1.14,3,11,1630
greedy,300,22,12.0909,4,11,3
random,300,2,146.5,4,11,0
bad_greedy,300,11,24.3636,4,11,1
k=1,300,24,11.875,4,11,65
k=2,300,24,11.875,4,11,3143
greedy,300,70,4.28571,2,11,3
random,300,40,7.5,2,11,0
bad_greedy,300,30,10,2,11,1
k=1,300,70,4.28571,2,11,50
k=2,300,70,4.28571,2,11,2506
greedy,300,100,1.02,3,11,3
random,300,99,3.0303,3,11,0
bad_greedy,300,97,3.05155,3,11,1
k=1,300,100,1,3,11,30
k=2,300,100,0.98,3,11,1624
greedy,300,19,14.1579,4,11,3
random,300,9,30.6667,4,11,0
bad_greedy,300,16,16.1875,4,11,1
k=1,300,20,14.6,4,11,74
k=2,300,20,14.6,4,11,3175
greedy,300,78,3.84615,2,11,3
random,300,48,6.25,2,11,0
bad_greedy,300,38,7.89474,2,11,1
k=1,300,79,3.79747,2,11,44
k=2,300,80,3.75,2,11,2192
greedy,300,100,0.99,3,11,3
random,300,98,3.06122,3,11,0
bad_greedy,300,98,3.02041,3,11,1
k=1,300,100,0.97,3,11,33
k=2,300,100,0.95,3,11,1463
greedy,300,28,10.1786,4,11,3
random,300,2,128.5,4,11,0
bad_greedy,300,20,13.15,4,11,1
k=1,300,28,10.0714,4,11,68
k=2,300,28,10.0714,4,11,3022
greedy,300,81,3.7037,2,11,4
random,300,51,5.88235,2,11,0
bad_greedy,300,31,9.67742,2,11,1
k=1,300,81,3.7037,2,11,40
k=2,300,81,3.7037,2,11,1952
greedy,300,100,1.19,3,11,3
random,300,94,3.18085,3,11,0
bad_greedy,300,98,3.06122,3,11,1
k=1,300,100,1.16,3,11,33
k=2,300,100,1.15,3,11,1512
greedy,300,26,10.6923,4,11,3
random,300,16,18.0625,4,11,0
bad_greedy,300,24,11,4,11,1
k=1,300,27,10.6296,4,11,62
k=2,300,27,10.6296,4,11,3078
greedy,300,71,4.22535,2,11,3
random,300,49,6.12245,2,11,0
bad_greedy,300,49,6.12245,2,11,1
k=1,300,72,4.16667,2,11,46
