algorithm,budget,coverage,cost_per_coverage,time
random,800,24,32.125,0
bad_greedy,800,26,28.8462,1
k=1,800,43,18.5581,58
k=2,800,43,18.5581,2924
greedy,800,53,14.3396,3
random,800,18,42,0
bad_greedy,800,35,21.8286,1
k=1,800,53,14.2264,68
k=2,800,53,14.2264,2951
greedy,800,45,17.6,3
random,800,11,70.4545,0
bad_greedy,800,22,33.5,1
k=1,800,46,17.3261,58
k=2,800,46,17.3261,2792
greedy,800,47,16.5532,3
random,800,18,43.6111,0
bad_greedy,800,36,21.3611,1
k=1,800,47,16.5532,57
k=2,800,47,16.5532,2898
greedy,800,48,16.5625,3
random,800,18,44.0556,0
bad_greedy,800,28,27.6071,1
k=1,800,48,16.5625,55
k=2,800,48,16.5625,2788
greedy,800,44,17.7955,3
random,800,14,56.4286,0
bad_greedy,800,35,21,1
k=1,800,44,17.7955,59
k=2,800,44,17.7955,3413
greedy,800,61,12.4754,3
random,800,47,16.383,0
bad_greedy,800,49,16.2041,1
k=1,800,61,12.4754,52
k=2,800,61,12.4754,2591
greedy,800,49,15.9184,3
random,800,25,30.24,0
bad_greedy,800,31,24.3871,1
k=1,800,49,15.9184,54
k=2,800,49,15.9184,2741
greedy,800,46,16.587,3
random,800,17,47,0
bad_greedy,800,32,24.2812,1
k=1,800,46,16.587,55
k=2,800,46,16.587,2867
greedy,800,45,17.7778,3
random,800,17,46.5882,0
bad_greedy,800,33,22.9394,1
k=1,800,45,17.7778,57
k=2,800,45,17.7556,2844
greedy,700,38,17.6842,3
random,700,15,45.3333,0
bad_greedy,700,27,25.1852,1
k=1,700,38,17.6842,60
k=2,700,38,17.6842,2945
greedy,700,40,16.5,4
random,700,18,37.0556,0
bad_greedy,700,26,25.8077,1
k=1,700,40,16.5,74
k=2,700,40,16.5,4325
greedy,700,41,17.0244,4
random,700,18,36.8889,0
bad_greedy,700,27,25.037,2
k=1,700,41,17.0244,78
k=2,700,41,17.0244,3393
greedy,700,43,15.9767,3
random,700,21,32,0
bad_greedy,700,32,21.375,1
k=1,700,44,15.6818,58
k=2,700,45,15.5111,2888
greedy,700,43,15.0698,3
random,700,13,53.3077,0
bad_greedy,700,22,29.4545,1
k=1,700,45,14.7778,63
k=2,700,45,14.7778,2812
greedy,700,46,15,3
random,700,5,133.2,0
bad_greedy,700,27,24.5926,1
k=1,700,46,14.9783,58
k=2,700,46,14.9783,2932
greedy,700,41,16.561,4
random,700,11,63.2727,0
bad_greedy,700,28,23.3214,1
k=1,700,41,16.561,58
k=2,700,41,16.561,2981
greedy,700,38,17.1316,3
random,700,18,36.6667,0
bad_greedy,700,21,32.1905,1
k=1,700,39,17.7179,59
k=2,700,39,17.7179,2950
greedy,700,42,15.6905,3
random,700,17,39.4118,0
bad_greedy,700,29,23.3103,1
k=1,700,44,15.6591,61
k=2,700,44,15.6591,2955
greedy,700,46,14.6957,3
random,700,15,45.7333,0
bad_greedy,700,35,19.3714,1
k=1,700,47,14.5745,57
k=2,700,47,14.5745,2761
greedy,2300,75,29.7867,3
random,2300,48,46.9583,0
bad_greedy,2300,54,40.963,1
k=1,2300,76,29.6711,43
k=2,2300,77,29.6883,2127
greedy,2300,76,30.2368,3
random,2300,47,48.617,0
bad_greedy,2300,56,40.1964,1
k=1,2300,77,29.7532,42
k=2,2300,77,29.7532,2078
greedy,2300,75,30,3
random,2300,46,49.6522,0
bad_greedy,2300,50,44.44,1
k=1,2300,75,29.96,46
k=2,2300,75,29.96,2252
greedy,2300,78,29.0128,3
random,2300,48,47.8958,0
bad_greedy,2300,55,40.6909,1
k=1,2300,78,29.0128,46
k=2,2300,78,29.0128,2257
greedy,2300,75,30.24,3
random,2300,44,52.1136,0
bad_greedy,2300,50,45.8,1
k=1,2300,75,30.24,43
k=2,2300,75,30.24,2072
greedy,2300,74,30.5946,3
random,2300,45,50.3111,0
bad_greedy,2300,49,44.9592,1
k=1,2300,74,30.5946,45
k=2,2300,74,30.5946,2211
greedy,2300,70,32.2,3
random,2300,44,51.2955,0
bad_greedy,2300,55,40.4909,1
k=1,2300,70,32.2,47
k=2,2300,70,32.2,2387
greedy,2300,75,29.8267,4
random,2300,40,57.475,0
bad_greedy,2300,48,46.7292,1
k=1,2300,75,29.7333,40
k=2,2300,75,29.7333,2018
greedy,2300,72,31.1667,3
random,2300,40,57.05,0
bad_greedy,2300,45,49.7111,1
k=1,2300,72,30.9028,49
k=2,2300,72,30.9028,2279
greedy,2300,70,32.7714,3
random,2300,41,55.3659,0
bad_greedy,2300,46,48.3478,1
k=1,2300,70,32,46
k=2,2300,70,32,2407
greedy,1000,52,18.7692,3
random,1000,18,54.7222,0
bad_greedy,1000,36,26.4722,1
k=1,1000,53,18.8302,53
k=2,1000,53,18.8302,2679
greedy,1000,57,17.2632,3
random,1000,32,30.8125,0
bad_greedy,1000,46,20.3478,1
k=1,1000,58,17.0345,55
k=2,1000,58,17.0345,2748
greedy,1000,54,17.6296,3
random,1000,31,31.5806,0
bad_greedy,1000,34,28.5294,1
k=1,1000,55,17.4545,55
k=2,1000,55,17.4545,2675
greedy,1000,54,18.0741,4
random,1000,21,45.7143,0
bad_greedy,1000,35,27.5714,1
k=1,1000,55,18.0182,62
k=2,1000,55,18,2775
greedy,1000,55,17.2545,3
random,1000,17,57.4118,0
bad_greedy,1000,41,23.4146,1
k=1,1000,56,17.4821,56
k=2,1000,56,17.4821,2727
greedy,1000,52,18.7115,3
random,1000,24,39.375,0
bad_greedy,1000,32,29.0625,1
k=1,1000,52,18.7115,55
k=2,1000,52,18.7115,2686
greedy,1000,55,17.7091,4
random,1000,12,83.3333,0
bad_greedy,1000,32,29.9688,1
k=1,1000,56,17.5357,52
k=2,1000,56,17.5357,2538
greedy,1000,47,20.7872,3
random,1000,33,30.303,0
bad_greedy,1000,33,28.4242,1
k=1,1000,47,20.4043,60
k=2,1000,47,20.4043,2950
greedy,1000,50,19.64,3
random,1000,20,49.55,0
bad_greedy,1000,33,28.303,1
k=1,1000,50,19.18,52
k=2,1000,50,19.18,2604
greedy,1000,49,19.5102,3
random,1000,21,45.6667,0
bad_greedy,1000,34,27.5882,1
k=1,1000,50,19.6,51
k=2,1000,50,19.6,2513
greedy,900,45,19.4667,3
random,900,22,40.1818,0
bad_greedy,900,24,37.125,1
k=1,900,45,19.3333,55
k=2,900,46,19.5435,2729
greedy,900,51,17.4902,3
random,900,24,37.2917,0
bad_greedy,900,31,27.8065,1
k=1,900,51,17.4902,53
k=2,900,51,17.4902,2751
greedy,900,49,17.7959,4
random,900,30,29.3,0
bad_greedy,900,32,27.375,1
k=1,900,50,17.78,61
k=2,900,50,17.78,2820
greedy,900,44,19.3182,3
random,900,18,50,0
bad_greedy,900,31,28.9032,1
k=1,900,45,19.2444,57
k=2,900,45,19.2444,2822
greedy,900,49,17.551,3
random,900,17,52.9412,0
bad_greedy,900,28,31.4286,1
k=1,900,50,17.58,55
k=2,900,50,17.58,2709
greedy,900,50,17.46,3
random,900,22,39.8636,0
bad_greedy,900,30,27.9667,1
k=1,900,50,17.3,56
k=2,900,50,17.3,2747
greedy,900,49,18.1429,3
random,900,22,40.4091,0
bad_greedy,900,26,33.7692,1
k=1,900,49,18.1429,54
k=2,900,49,18.1429,2627
greedy,900,47,19.1064,3
random,900,22,40,0
bad_greedy,900,30,27.8667,1
k=1,900,47,19.1064,57
k=2,900,47,19.1064,2767
greedy,900,49,17.8163,3
random,900,13,65.6154,0
bad_greedy,900,38,23.4211,1
k=1,900,49,17.8163,56
k=2,900,49,17.8163,2778
greedy,900,57,15.3684,3
random,900,21,41.381,0
bad_greedy,900,35,24.7143,1
k=1,900,57,15.3684,63
k=2,900,57,15.3684,2765
greedy,2300,83,26.6867,3
random,2300,54,42.463,0
bad_greedy,2300,59,38.9153,1
k=1,2300,83,26.6867,40
k=2,2300,83,26.6867,1956
greedy,2300,74,30.9459,3
random,2300,42,54.2619,0
bad_greedy,2300,53,41.7358,1
k=1,2300,74,30.2297,50
k=2,2300,74,30.2297,3101
